K_ENTIDAD_MUNICIPIO,SUPERFICIE
12062,802.79
12063,279.97
12064,472.04
12065,117.45
12066,609.03
12067,284.7
12068,1760.21
12069,226.63
12070,261.61
12071,453.22
12072,228.36
12073,2144.87
12074,304.67
12075,1249.27
12076,630.76
12077,210.73
12078,620.58
12079,131.98
12080,253.78
12081,240.26
13001,241.6
13002,238.87
13003,271.86
13004,120.02
13005,253.11
13006,433.52
13007,272.32
13008,322.22
13009,137.6
13010,63.43
13011,142.65
13012,457.09
13013,121.34
13014,211.01
13015,593.63
13016,391.39
13017,278.33
13018,232.3
13019,222.82
13020,239.54
13021,123.01
13022,139.58
13023,104.99
13024,302.75
13025,292.31
13026,107.46
13027,214.84
13028,394.05
13029,660.71
13030,486.6
13031,440.95
13032,38.39
13033,110.79
13034,177.11
13035,146.34
13036,245.72
13037,796.91
13038,193.82
13039,53.43
13040,232.79
13041,114.79
13042,198.27
13043,249.7
13044,341.32
13045,79.73
13046,323.93
13047,385.15
13048,154.1
13049,180.24
13050,90.98
13051,115.24
13052,297.2
13053,358.48
13054,205.65
13055,256.23
13056,64.29
13057,420.21
13058,240.01
13059,525.06
13060,176.63
13061,242.91
13062,347.34
13063,353.43
13064,147.89
13065,44.93
13066,90.73
13067,163.31
13068,255.46
13069,76.7
13070,28.18
13071,531.6
13072,82.93
13073,392.11
13074,42.31
13075,117.22
13076,336.11
13077,217.42
13078,135.41
13079,187.07
13080,154.35
13081,272.69
13082,116.95
13083,319.87
13084,872.24
14001,339.19
14002,153.98
14003,273.99
14004,124.82
14005,173.7
14006,839.12
14007,194.71
14008,950.67
14009,104.19
14010,355.81
14011,440.56
14012,610.2
14013,510.89
14014,451.53
14015,705.14
14016,430.87
14017,883.37
14018,418.18
14019,866.48
14020,1543.4
14021,522.71
14022,501.33
14023,273.49
14024,331.2
14025,639.76
14026,265.64
14027,1391.13
14028,417.12
14029,643
14030,628.57
14031,655.08
14032,297.38
14033,426.72
14034,297.64
14035,1253.4
14036,337.76
14037,177.34
14038,837.73
14039,151.18
14040,756.37
14041,309.24
14042,769.55
14043,2010.98
14044,201.81
14045,831.82
14046,520.9
14047,162.79
14048,665.17
14049,1476.25
14050,325.78
14051,138.14
14052,245.7
14053,2514.56
14054,114.23
14055,293.19
14056,776.44
14057,133.99
14058,1843.12
14059,288.94
14060,287.02
14061,3363.59
14062,630.97
14063,242.67
14064,1155.75
14065,874.58
14066,834.77
14067,680.87
14068,1848.08
14069,674.31
14070,87.7
14071,522.97
14072,351.68
14073,847.67
14074,261.94
14075,305.51
14076,690.06
14077,342.97
14078,786.47
14079,353.45
14080,1116.73
14081,260.82
14082,215.97
14083,412.1
14084,1996.35
14085,1363.7
14086,619.41
14087,1301
14088,765.33
14089,79.24
14090,281.54
14091,933.54
14092,334.43
14093,1400.15
14094,1692.99
14095,219.1
14096,193.96
14097,714.52
14098,111.59
14099,512.63
14100,3014.8
14101,166.25
14102,293.57
14103,145.87
14104,587.03
14105,336.55
14106,429.97
14107,132.41
14108,725.45
14109,728.7
14110,443
14111,352.26
14112,195.23
14113,746.11
14114,318.18
14115,673.3
14116,452.94
14117,271.83
14118,563.33
14119,479.09
14120,1162.8
14121,252.25
14122,305.77
14123,400.02
14124,718.78
14125,227.48
15001,463.12
15002,83.86
15003,453.74
15004,182.68
15005,480.87
15006,16.6
15007,222.32
15008,637.94
15009,189.34
15010,75.66
15011,84.64
15012,7.07
15013,91.14
15014,257.89
15015,161.96
15016,231.37
15017,36.45
15018,102
15019,32.24
15020,35.09
15021,282.17
15022,14.96
15023,47.63
15024,26.23
15025,218.97
15026,292.24
15027,12.59
15028,20.66
15029,53.94
15030,6.84
15031,43.58
15032,193.04
15033,159.46
15034,50.64
15035,118.5
15036,234.47
15037,140.48
15038,75.74
15039,327.1
15040,110.89
15041,99.49
15042,336.19
15043,116.73
15044,4.69
15045,586.2
15046,118.86
15047,272.64
15048,277.35
15049,63.02
15050,140.69
15051,211.29
15052,205.21
15053,17.89
15054,67.36
15055,11.38
15056,235.84
15057,157.12
15058,63.26
15059,54.57
15060,234.81
15061,84
15062,136.06
15063,315.55
15064,137.57
15065,195.72
15066,156.97
15067,115.79
15068,46.08
15069,3.17
15070,36.66
15071,126.69
15072,23.51
15073,18.41
15074,368.7
15075,67.32
15076,27.47
15077,128.57
15078,103.88
15079,128.64
15080,564.11
15081,156.97
15082,669.22
15083,28.25
15084,164.61
15085,362.34
15086,545.13
15087,189.25
15088,163.24
15089,37.81
15090,207.41
15091,53.6
15092,83.18
15093,179.8
15094,43.3
15095,188.22
15096,122.53
15097,150.04
15098,24.73
15099,434.26
15100,17.35
15101,170.6
15102,172.84
15103,162.25
15104,77.19
15105,787.61
15106,453.08
15107,91.46
15108,26.78
15109,69.33
15110,430.28
15111,308.14
15112,306.74
15113,209.89
15114,424.28
15115,65.54
15116,66.9
15117,281.69
15118,308.98
15119,200.89
15120,224.18
15121,109.63
15122,46.61
15123,702.67
15124,488.03
15125,9.04
16001,176.32
16002,1396.87
16003,159.52
16004,240.29
16005,76.84
16006,1640.27
16007,54.96
16008,2264.23
16009,695.18
16010,3434.55
16011,67.7
16012,922.36
16013,918.04
16014,365.96
16015,2826.34
16016,393.68
16017,380.61
16018,173.28
16019,506.2
16020,254.4
16021,233.76
16022,323.04
16023,152.07
16024,222.36
16025,304.63
16026,1022.07
16027,192.3
16028,229.42
16029,1109.05
16030,304.16
16031,423.61
16032,243.98
16033,367.31
16034,1143.4
16035,1952.02
16036,96.21
16037,200.54
16038,2057.29
16039,79.11
16040,176.46
16041,125.91
16042,123.91
16043,118.7
16044,194.49
16045,243.23
16046,140.99
16047,265.49
16048,83.77
16049,1019.65
16050,695.96
16051,233.04
16052,1150.27
16053,1197.17
16054,183.39
16055,377.57
16056,304.15
16057,545.52
16058,234.99
16059,330.4
16060,76.91
16061,146.45
16062,170.37
16063,289.25
16064,503.37
16065,244.17
16066,438.54
16067,371.25
16068,331.81
16069,284.74
16070,192.67
16071,718.98
16072,234.86
16073,213.35
16074,131.1
16075,480.92
16076,128.11
16077,467.91
16078,104.09
16079,487.86
16080,256.98
16081,267.96
16082,786.81
16083,714.25
16084,315.53
16085,385.81
16086,228.08
16087,185.1
16088,255.86
16089,798.12
16090,189.76
16091,173.41
16092,1493.03
16093,190.53
16094,203.76
16095,504.21
16096,2062.4
16097,1546.09
16098,243.42
16099,1018.09
16100,168.38
16101,941.31
16102,1012.92
16103,227.63
16104,350.17
16105,147.6
16106,174.39
16107,454.68
16108,334.9
16109,113.18
16110,596.43
16111,159.97
16112,512.59
16113,219.64
17001,117.24
17002,79.38
17003,141.51
17004,377.07
17005,83.4
17006,97.18
17007,199.68
17008,68.28
17009,189.1
17010,102.26
17011,55.96
17012,153.46
17013,90.33
17014,57.89
17015,215.46
17016,86.47
17017,297.59
17018,102.75
17019,368.64
17020,242.36
17021,67.7
17022,98.48
17023,107.86
17024,238.46
17025,543.92
17026,57.27
17027,59.98
17028,93.25
17029,192
17030,176.8
17031,26.31
17032,53.77
17033,37.08
18001,1427.25
18002,504.8
18003,518.34
18004,1880.62
18005,2237.42
18006,493.01
18007,503.62
18008,503.75
18009,5142.44
18010,1840.64
18011,520.59
18012,1104.05
18013,515.68
18014,1091.4
18015,1728.98
18016,1044.78
18017,1635.11
18018,313.93
18019,4316.75
18020,771.35
19001,46.88
19002,980.87
19003,694.51
19004,190.45
19005,4539.21
19006,238.57
19007,2688.64
19008,466.71
19009,1140.87
19010,102.31
19011,1007.49
19012,146.06
19013,4265.71
19014,5053.66
19015,720.74
19016,614.7
19017,7068.29
19018,1032.08
19019,70.77
19020,1888.59
19021,150.99
19022,2478.84
19023,387.93
19024,1306.68
19025,184.47
19026,117.69
19027,496.55
19028,443.18
19029,127.79
19030,560.5
19031,247.3
19032,3428.04
19033,2509.21
19034,264.87
19035,207.8
19036,997.91
19037,3859.96
19038,1868.96
19039,324.79
19040,1171.24
19041,308.94
19042,1340.95
19043,683.05
19044,1541.46
19045,1659.96
19046,60.17
19047,170.59
19048,915.8
19049,739.22
19050,1764.95
19051,879.33
20001,126.36
20002,754.57
20003,76.31
20004,83.7
20005,658.85
20006,343.42
20007,4.28
20008,189.94
20009,157.53
20010,252.07
20011,67.68
20012,180.97
20013,10.27
20014,294.05
20015,119.36
20016,126.09
20017,104.17
20018,224.6
20019,173.62
20020,57.15
20021,112.15
20022,111.67
20023,49.8
20024,79.12
20025,22.67
20026,134.76
20027,35.99
20028,317.5
20029,35.82
20030,56.06
20031,111.97
20032,61.27
20033,4.28
20034,30.83
20035,4.51
20036,280.9
20037,174.72
20038,58.98
20039,325.82
20040,47.01
20041,147.97
20042,562.27
20043,911.3
20044,485.85
20045,26.99
20046,234.67
20047,26.77
20048,41.02
20049,10.33
20050,85.07
20051,39.35
20052,840.63
20053,124.39
20054,24.83
20055,144.2
20056,57.53
20057,1355.73
20058,182.19
20059,467.4
20060,67.71
20061,22.43
20062,2.21
20063,4.28
20064,504.44
20065,72.53
20066,547.58
20067,89.25
20068,119.83
20069,26.89
20070,67.37
20071,103.26
20072,108.44
20073,406.79
20074,38.44
20075,33.37
20076,186.59
20077,11.95
20078,12.46
20079,131.85
20080,55.59
20081,96.47
20082,150.97
20083,25.99
20084,55.14
20085,335.73
20086,51.4
20087,6.43
20088,257.68
20089,99.28
20090,87.63
20091,27.58
20092,28.81
20093,50.02
20094,64
20095,57.08
20096,22.61
20097,48.63
20098,145.51
20099,14.4
20100,40.94
20101,7.06
20102,69.38
20103,11.18
20104,105.28
20105,109.7
20106,16.48
20107,10.76
20108,191.39
20109,77.21
20110,29.24
20111,69.41
20112,92.18
20113,120.9
20114,30.33
20115,31.37
20116,57.41
20117,156.16
20118,23.88
20119,85.91
20120,8.74
20121,74.92
20122,93.39
20123,108.7
20124,208.21
20125,2304.57
20126,136.77
20127,31.79
20128,16.82
20129,53.09
20130,354.89
20131,310.37
20132,10.06
20133,109.22
20134,134.46
20135,99.37
20136,447.5
20137,280.33
20138,44.65
20139,62.45
20140,22.52
20141,678.07
20142,14.26
20143,212.62
20144,47.43
20145,11.25
20146,40.82
20147,22.61
20148,49.32
20149,107.05
20150,192.95
20151,86.27
20152,99.64
20153,178.42
20154,61.1
20155,38.72
20156,93.96
20157,4.16
20158,63.59
20159,583.74
20160,58.52
20161,220.09
20162,72.72
20163,17.82
20164,55.76
20165,21.82
20166,193.15
20167,28.49
20168,65.87
20169,53.93
20170,77.46
20171,257.87
20172,35.61
20173,134.2
20174,3.02
20175,421.57
20176,286.15
20177,496.4
20178,51.92
20179,114.4
20180,72.12
20181,93.29
20182,50.13
20183,88.67
20184,877.01
20185,202.59
20186,89.99
20187,66.11
20188,123.98
20189,98.6
20190,1382.49
20191,20.38
20192,5.19
20193,132.05
20194,71.34
20195,34.9
20196,16.59
20197,31.76
20198,796.97
20199,52.21
20200,316
20201,56.55
20202,209.48
20203,107.43
20204,106.28
20205,694.08
20206,119.51
20207,1627.51
20208,358.18
20209,75.45
20210,212.08
20211,206.67
20212,188.3
20213,203.88
20214,202.87
20215,14.56
20216,19.61
20217,359.6
20218,71
20219,41.27
20220,255.12
20221,87.01
20222,37.82
20223,29.11
20224,23.39
20225,58.59
20226,134.43
20227,27.6
20228,9.18
20229,137.39
20230,51.98
20231,101.6
20232,454.89
20233,51.78
20234,64.95
20235,288.99
20236,53.78
20237,127.89
20238,8.31
20239,42.77
20240,63.74
20241,10.74
20242,242.7
20243,24.23
20244,64.1
20245,43.34
20246,14.69
20247,37.15
20248,89.73
20249,7.12
20250,23.5
20251,63.97
20252,55.88
20253,161.78
20254,211.13
20255,141.56
20256,24.41
20257,34.08
