K_ENTIDAD_MUNICIPIO,PO2SM,IM,GM
16084,57.73,0.172,Alto
16056,65.8,0.784,Alto
16073,67,-0.266,Medio
16068,21.86,-0.868,Bajo
16093,66.73,0.278,Alto
16098,60.34,-0.241,Medio
16064,56.93,0.276,Alto
16113,66.93,-0.407,Medio
16008,31.94,1.551,Muy alto
16103,52.36,-0.582,Bajo
16061,51.62,0.211,Alto
16089,42.06,-0.439,Medio
16033,51.07,-0.229,Medio
16010,42.55,-0.049,Medio
16022,43.59,-0.553,Bajo
16003,59.37,-0.486,Medio
16047,64.99,-0.076,Medio
16016,69.83,0.047,Medio
16105,37.11,-0.724,Bajo
16058,41.48,-0.835,Bajo
16062,60,-0.292,Medio
16080,50.86,-0.028,Medio
16024,66.46,0.134,Alto
16019,40.63,-0.665,Bajo
16015,39.54,-0.063,Medio
16049,59.62,0.724,Alto
16077,58.28,0.614,Alto
16111,44.16,-0.108,Medio
16104,58.3,-0.173,Medio
16040,63.54,-0.167,Medio
16067,69.09,-0.083,Medio
16031,64.89,0.092,Alto
16063,62.32,-0.192,Medio
16029,58.16,1.094,Alto
16099,64.56,0.689,Alto
16086,52.24,-0.724,Bajo
16032,64.01,-0.049,Medio
16070,50.02,-1.005,Bajo
16002,47.52,0.036,Medio
16041,66.23,0.09,Alto
16004,65.11,-0.313,Medio
16090,42.87,-0.341,Medio
16087,39.41,-0.632,Bajo
16091,41.06,-0.606,Bajo
16100,61.67,-0.115,Medio
16014,32.95,-0.466,Medio
16046,61.5,-0.101,Medio
16072,63.82,-0.469,Medio
16051,35.34,-1.191,Muy bajo
16092,54.86,1.237,Muy alto
16030,47.46,-0.358,Medio
16042,59.63,-0.102,Medio
16078,60.44,-0.359,Medio
16044,63.16,-0.219,Medio
16021,71.94,0.844,Alto
16095,34.9,-0.814,Bajo
16036,59.4,-0.467,Medio
16001,58.63,-0.219,Medio
16011,44.36,-0.589,Bajo
16005,48.07,-0.209,Medio
16074,53.45,-0.45,Medio
16023,51.57,-0.495,Medio
16060,51.31,-0.474,Medio
16013,53.66,0.658,Alto
16018,56.39,-0.368,Medio
16101,66.31,1.338,Muy alto
16039,44.47,-0.404,Medio
16081,65.59,0.975,Alto
16057,44.8,0.855,Alto
16037,67.13,0.011,Medio
16059,54.02,-0.106,Medio
16054,65.13,-0.143,Medio
16096,41.64,0.786,Alto
16094,58.78,-0.101,Medio
16048,49.46,-0.438,Medio
16026,52.55,0.458,Alto
16028,58.88,-0.454,Medio
16027,58.58,0.191,Alto
16007,66.59,0.209,Alto
16109,48.5,-0.431,Medio
17007,28.34,-1.674,Muy bajo
17011,37.41,-1.461,Muy bajo
17006,44.93,-1.146,Muy bajo
17018,42.69,-1.044,Bajo
17029,42.16,-1.017,Bajo
17008,40.43,-1.144,Muy bajo
17004,51.12,-0.636,Bajo
17028,44.04,-0.865,Bajo
17017,43.81,-0.688,Bajo
17012,44.12,-1.078,Muy bajo
17030,50.89,-0.668,Bajo
17024,49.84,-0.729,Bajo
17020,41.23,-0.601,Bajo
17031,38.66,-1.423,Muy bajo
17003,69.64,-0.062,Medio
17025,49.99,-0.747,Bajo
17019,60.59,-0.335,Medio
17015,56.33,-0.396,Medio
17002,46.38,-0.422,Medio
17022,67.32,-0.614,Bajo
17009,42.52,-0.748,Bajo
17016,70.77,-0.138,Medio
17001,48.64,-0.534,Bajo
17026,51.26,-0.562,Bajo
17010,54.05,-0.543,Bajo
17033,63.06,-0.442,Medio
17013,50.26,-0.759,Bajo
17027,58.25,-0.2,Medio
17014,54.66,-0.527,Bajo
17005,59.54,-0.209,Medio
17032,60.4,-0.759,Bajo
17021,48.78,-0.461,Medio
17023,58.79,0.184,Alto
18017,32.09,-1.596,Muy bajo
18020,25.76,-1.311,Muy bajo
18015,52.98,-0.536,Bajo
18004,34.82,-0.954,Bajo
18008,33.12,-1.457,Muy bajo
18012,49.8,-0.574,Bajo
18009,57.35,4.411,Muy alto
18016,49.8,-0.705,Bajo
18001,51.44,-0.601,Bajo
18010,57.87,-0.199,Medio
18018,50.58,-0.912,Bajo
18006,39.69,-1.222,Muy bajo
18011,59.45,-0.126,Medio
18014,45.74,-0.323,Medio
18007,57.93,-0.306,Medio
18002,48.65,-0.937,Bajo
18019,46.43,1.908,Muy alto
18005,63.89,2.048,Muy alto
18003,42.05,-0.646,Bajo
18013,45.07,-0.66,Bajo
19039,15.5,-1.901,Muy bajo
19026,16.25,-1.918,Muy bajo
19006,14.52,-1.89,Muy bajo
19046,13.14,-2.095,Muy bajo
19021,15.9,-1.749,Muy bajo
19031,17.29,-1.621,Muy bajo
19048,13.92,-1.849,Muy bajo
19018,13.5,-1.622,Muy bajo
19019,8.25,-2.219,Muy bajo
19009,14.43,-1.563,Muy bajo
19041,13.11,-1.426,Muy bajo
19033,37.64,-1.169,Muy bajo
19025,15.69,-1.606,Muy bajo
19038,21.71,-1.431,Muy bajo
19045,13.28,-1.328,Muy bajo
19012,16.24,-1.552,Muy bajo
19049,18.65,-1.627,Muy bajo
19017,49.75,-0.189,Medio
19010,13.61,-1.435,Muy bajo
19044,32.64,-1.559,Muy bajo
19004,11.36,-1.616,Muy bajo
19014,55.65,0.036,Medio
19005,43.76,-1.095,Muy bajo
19007,52.13,0.169,Alto
19022,29.91,-0.93,Bajo
19047,13.28,-1.68,Muy bajo
19013,17.47,-1.261,Muy bajo
19011,28.36,-1.306,Muy bajo
19036,55.25,0.422,Alto
19029,31.04,-1.259,Muy bajo
19024,55.19,0.595,Alto
19034,15.96,-1.127,Muy bajo
19020,16.34,-1.027,Bajo
19037,16.08,-0.848,Bajo
19032,31.95,-1.261,Muy bajo
19042,25.45,-0.878,Bajo
19051,43.32,-0.834,Bajo
19008,43.03,-0.876,Bajo
19030,44.43,-0.027,Medio
19016,19.05,-0.845,Bajo
19043,49.38,0.1,Alto
19001,17.75,-1.125,Muy bajo
19002,29.45,-0.988,Bajo
19027,38.33,-0.76,Bajo
19015,38.49,-0.606,Bajo
19050,37.97,-0.665,Bajo
19028,28.64,-0.822,Bajo
19003,42.42,-0.776,Bajo
19023,37.77,-0.677,Bajo
19040,25.41,-0.945,Bajo
19035,31.46,-1.144,Muy bajo
20067,26.68,-1.52,Muy bajo
20184,47.55,-0.607,Bajo
20043,39.87,-0.646,Bajo
20385,33.98,-0.979,Bajo
20079,32.36,-1.134,Muy bajo
20039,44.88,-0.698,Bajo
20515,44.76,-0.339,Medio
20482,51.43,0.227,Alto
20390,28.33,-1.558,Muy bajo
20318,36.85,-0.557,Bajo
20324,47.75,0.45,Alto
20334,54.42,0.333,Alto
20002,65.34,0.339,Alto
20413,35.95,-0.686,Bajo
20565,37.41,-0.137,Medio
20044,61.5,-0.276,Medio
20059,47.75,0.057,Medio
20397,47.09,-0.184,Medio
20057,55.84,0.285,Alto
20278,69.4,1.179,Alto
20469,63.33,0.975,Alto
20399,33.91,-0.904,Bajo
20073,56.76,0.107,Alto
20041,71.13,1.705,Muy alto
20198,65.49,1.216,Alto
20014,38.87,-1.072,Bajo
20134,66.37,1.62,Muy alto
20439,50.24,1.174,Alto
20085,71.32,2.414,Muy alto
20401,45.34,-0.171,Medio
20190,63.55,0.776,Alto
20107,38.59,-0.928,Bajo
20559,55.56,0.145,Alto
20551,41.44,-0.573,Bajo
20068,48.14,0.05,Medio
20023,38.33,-0.544,Bajo
20028,60.06,0.436,Alto
20406,82.74,3.13,Muy alto
20232,72.74,1.249,Muy alto
20570,52.61,0.014,Medio
20467,54.66,0.16,Alto
20207,69.03,1.136,Alto
20006,53.28,-0.213,Medio
20386,64.18,2.059,Muy alto
20124,60.38,1.353,Muy alto
20171,74.75,3.808,Muy alto
20350,22.4,-1.788,Muy bajo
20526,69.27,0.76,Alto
20205,68.75,1.18,Alto
20427,65.56,0.728,Alto
20447,65,0.721,Alto
20293,27.29,-1.455,Muy bajo
20364,54.89,0.431,Alto
20021,65.32,0.035,Medio
20227,36.44,-1.151,Muy bajo
20157,29.72,-1.589,Muy bajo
20557,43.52,-0.817,Bajo
20327,63.2,0.208,Alto
20005,44.41,-0.516,Bajo
20248,68.71,3.174,Muy alto
20010,36.04,-0.805,Bajo
20468,70.85,1.034,Alto
20418,51.42,-0.292,Medio
20058,67.95,1.865,Muy alto
20466,73.81,2.805,Muy alto
20150,37.09,-0.807,Bajo
20375,36.43,-1.218,Muy bajo
20450,36.15,2.154,Muy alto
20298,66.27,0.076,Medio
20277,73.3,1.479,Muy alto
20312,53.59,1.454,Muy alto
20242,77.78,2.711,Muy alto
20525,65.31,0.054,Medio
20125,77.75,0.702,Alto
20166,67.58,0.008,Medio
20309,80.48,1.996,Muy alto
20377,64.09,1.144,Alto
20136,33.88,0.307,Alto
20025,49.35,-0.236,Medio
20414,61.1,0.618,Alto
20549,62.43,0.498,Alto
20325,78.12,1.144,Alto
20509,67.52,1.694,Muy alto
20338,41.47,-0.935,Bajo
20131,65.35,0.533,Alto
20012,67.61,1.86,Muy alto
20483,46.1,-0.404,Medio
20553,37.1,-0.717,Bajo
20188,61.57,1.103,Alto
20307,57.11,0.321,Alto
20177,62.92,0.25,Alto
20016,85.42,3.052,Muy alto
20545,51.32,-0.684,Bajo
20475,67.81,0.825,Alto
20417,72.46,0.383,Alto
20083,39.8,-0.903,Bajo
20295,46.56,-0.624,Bajo
20513,68.28,0.294,Alto
20115,31.74,-0.896,Bajo
20407,84.5,2.211,Muy alto
20026,67.12,0.433,Alto
20143,70.79,0.096,Alto
20437,48.77,0.855,Alto
20409,24.15,-1.614,Muy bajo
20185,54.78,0.166,Alto
20441,50.88,0.368,Alto
20426,58,1.525,Muy alto
20030,25.59,-1.325,Muy bajo
20310,42.75,0.7,Alto
20266,47.21,0.757,Alto
20348,57.83,0.832,Alto
20500,63.58,0.507,Alto
20229,82.42,1.988,Muy alto
20045,35.63,-1.005,Bajo
20042,44.26,-0.165,Medio
20275,49.62,1.102,Alto
20505,39.81,-0.618,Bajo
20135,53.72,-0.084,Medio
20540,52.88,-0.688,Bajo
20141,72.83,0.651,Alto
20261,82.09,1.176,Alto
20064,72.84,0.482,Alto
20105,66.29,0.41,Alto
20234,79.26,1.999,Muy alto
20009,70.24,0.377,Alto
20031,54.12,0.863,Alto
20294,42.77,-0.98,Bajo
20520,64.88,0.254,Alto
20070,57.85,0.667,Alto
20498,72.98,1.452,Muy alto
20178,36.9,-0.647,Bajo
20072,40.69,1.068,Alto
20265,57.32,1.121,Alto
20208,40,1.094,Alto
20300,72.71,0.715,Alto
20560,72.13,0.679,Alto
20537,62.55,0.386,Alto
20272,61.95,0.577,Alto
20392,74.38,2.02,Muy alto
20040,86.47,2.947,Muy alto
20090,51.86,0.192,Alto
20225,60.5,1.453,Muy alto
20446,83.51,1.392,Muy alto
20052,51.02,0.008,Medio
20103,49.43,0.759,Alto
20543,66.64,1.255,Muy alto
20546,62.53,0.548,Alto
20210,64.85,0.67,Alto
20539,41.99,-0.695,Bajo
20550,53.75,0.219,Alto
20036,67.45,0.768,Alto
20554,72.93,0.982,Alto
20091,24.37,-1.139,Muy bajo
20066,58.87,0.073,Medio
20502,67.93,2.081,Muy alto
20126,73.98,1.506,Muy alto
20326,82.23,1.484,Muy alto
20130,67.99,0.926,Alto
20516,69.8,0.905,Alto
20159,79.51,1.266,Muy alto
20489,43.3,0.683,Alto
20415,79.76,0.509,Alto
20460,71.82,1.12,Alto
20470,50.8,0.585,Alto
20153,63.61,0.485,Alto
20015,55.68,1.719,Muy alto
20517,59.5,1.974,Muy alto
20337,65.22,1.703,Muy alto
20384,78.84,1.455,Muy alto
20202,76.7,0.96,Alto
20494,71.5,1.646,Muy alto
20051,88.63,2.39,Muy alto
20421,42.32,-0.283,Medio
20302,75.46,1.314,Muy alto
20367,58.78,1.253,Muy alto
20098,72.25,1.15,Alto
20108,76.27,1.154,Alto
20398,61.34,0.665,Alto
20116,63.78,1.73,Muy alto
20102,46.15,-0.017,Medio
20491,51.1,0.498,Alto
20037,80.77,1.376,Muy alto
20459,69.9,-0.097,Medio
20497,67.05,1.758,Muy alto
20087,49.35,0.07,Medio
20095,74.4,1.651,Muy alto
20213,72.8,0.957,Alto
20484,69.66,0.595,Alto
20111,51.05,1.062,Alto
20291,67.18,0.515,Alto
20305,37.65,-0.85,Bajo
20330,74.52,0.764,Alto
20434,81.13,1.172,Alto
20029,71.13,1.906,Muy alto
20269,57.38,0.15,Alto
20082,49.96,0.464,Alto
20462,57.63,-0.13,Medio
20345,56.25,0.445,Alto
20339,54.48,-0.25,Medio
20452,59.52,1.55,Muy alto
20084,28,-1.099,Muy bajo
20020,59.83,1.447,Muy alto
20534,75.6,1.52,Muy alto
20174,34,-0.946,Bajo
20063,40.98,-1.021,Bajo
20366,69.6,1.146,Alto
20424,64.36,1.106,Alto
20169,60.39,2.748,Muy alto
20393,44.61,0.808,Alto
20145,31.11,-0.548,Bajo
20244,80.31,0.527,Alto
20360,55.51,0.61,Alto
20077,49.09,-0.235,Medio
20200,64.3,0.973,Alto
20453,52.29,0.037,Medio
20532,83.01,1.172,Alto
20285,56.46,0.712,Alto
20024,58.82,1.435,Muy alto
20235,57.9,1.074,Alto
20530,76.99,0.636,Alto
20249,73.21,0.965,Alto
20133,79.19,1.187,Alto
20347,51.13,0.407,Alto
20306,48.63,1.516,Muy alto
20352,78.05,2.155,Muy alto
20055,66.82,0.146,Alto
20507,60.22,0.891,Alto
20435,71.96,1.87,Muy alto
20378,71.42,0.477,Alto
20050,76.52,1.806,Muy alto
20137,34.07,0.66,Alto
20017,72.1,1.025,Alto
20391,67.52,2.334,Muy alto
20410,62.34,0.142,Alto
20342,28.4,-0.972,Bajo
20472,53.39,-0.143,Medio
20156,55.14,-0.094,Medio
20273,63.08,1.606,Muy alto
20474,52.03,0.248,Alto
20203,65.99,1.178,Alto
20076,73.6,0.268,Alto
20170,57.14,2.216,Muy alto
20396,91.51,2.367,Muy alto
20197,51.59,0.439,Alto
20485,67.45,1.468,Muy alto
20263,51.99,1.519,Muy alto
20412,70.84,1.736,Muy alto
20286,58.54,0.789,Alto
20046,62.54,0.799,Alto
20284,85.15,2.189,Muy alto
20308,44.8,0.586,Alto
20567,80.23,1.707,Muy alto
20254,61.35,0.846,Alto
20511,71.49,1.125,Alto
20495,62.08,1.657,Muy alto
20490,50.23,1.027,Alto
20457,76.04,0.963,Alto
20555,41.59,0.21,Alto
20566,54.41,1.194,Alto
20113,45.2,0.259,Alto
20519,55.05,-0.065,Medio
20403,37.45,-0.531,Bajo
20231,35.46,1.529,Muy alto
20535,70.79,1.254,Muy alto
20492,63.28,1.188,Alto
20013,57.27,-0.24,Medio
20449,58.1,0.396,Alto
20019,71.35,0.867,Alto
20379,82.96,1.321,Muy alto
20454,68.17,1.141,Alto
20212,51.01,1.564,Muy alto
20387,55.37,0.201,Alto
20217,65.34,1.949,Muy alto
20071,68.82,1.47,Muy alto
20189,60.11,1.553,Muy alto
20351,72.77,0.743,Alto
20088,76.83,1.544,Muy alto
20561,79.55,1.169,Alto
20146,62.56,1.085,Alto
20164,81.1,0.872,Alto
20394,50.22,0.37,Alto
20123,63.27,0.742,Alto
20075,59.04,-0.098,Medio
20226,73.04,0.401,Alto
20061,69.27,1.066,Alto
20176,67.08,0.811,Alto
20344,46.07,0.219,Alto
20381,62,-0.176,Medio
20279,52.05,0.675,Alto
20211,50.63,1.624,Muy alto
20271,71.18,1.606,Muy alto
20220,82.33,0.466,Alto
20033,33.2,-0.846,Bajo
20069,77.78,1.382,Muy alto
20531,64.09,-0.261,Medio
20333,35.32,-0.271,Medio
20219,58,0.875,Alto
20104,54.8,0.764,Alto
20527,68.24,0.985,Alto
20180,55.38,0.241,Alto
20193,38.05,-0.176,Medio
20060,89.16,1.194,Alto
20455,71.2,1.149,Alto
20363,63.4,-0.001,Medio
20433,81.99,2.062,Muy alto
20007,55.31,1.535,Muy alto
20161,73.55,0.759,Alto
20297,84.39,1.333,Muy alto
20112,62.38,0.663,Alto
20118,73.34,1.181,Alto
20206,61.47,0.386,Alto
20154,50.49,0.543,Alto
20486,71.81,0.384,Alto
20388,63.82,1.205,Alto
20259,72.69,1.759,Muy alto
20117,52.99,1.36,Muy alto
20240,70.45,2.348,Muy alto
20280,72.41,0.036,Medio
20158,75.53,1.025,Alto
20027,84.78,1.592,Muy alto
20448,89.02,1.72,Muy alto
20182,56,0.934,Alto
20260,52.77,0.664,Alto
20353,36.55,0.096,Alto
20533,52.14,0.366,Alto
20380,66.39,0.511,Alto
20089,58.17,0.206,Alto
20405,66.38,0.232,Alto
20152,56.11,1.723,Muy alto
20323,46.51,0.651,Alto
20264,51.13,1.215,Alto
20499,47.87,-0.616,Bajo
20425,47.64,0.595,Alto
20253,42.93,1.429,Muy alto
20356,71.9,0.068,Medio
20252,84.03,1.415,Muy alto
20139,31.18,1.37,Muy alto
20167,53.52,1.277,Muy alto
20003,65.53,0.906,Alto
20255,77.25,1.259,Muy alto
20487,54.39,0.117,Alto
20214,89.17,1.27,Muy alto
20349,55.66,0.618,Alto
20201,69.38,0.846,Alto
20358,40.07,0.196,Alto
20148,76.22,1.247,Muy alto
20162,57.61,1.429,Muy alto
20343,72.21,0.141,Alto
20369,49.21,-0.118,Medio
20368,63.16,0.244,Alto
20428,85.45,1.275,Muy alto
20038,80.71,1.001,Alto
20420,70.93,1.183,Alto
20243,48.17,-0.203,Medio
20481,87.57,1.743,Muy alto
20187,90.33,1.516,Muy alto
20478,82.97,0.42,Alto
20081,52.17,0.774,Alto
20094,67.34,-0.001,Medio
20233,77.84,1.356,Muy alto
20496,51.87,-0.657,Bajo
20149,54.29,1.271,Muy alto
20395,23.02,1.654,Muy alto
20336,80.1,1.03,Alto
20315,54.24,2.067,Muy alto
20431,78.04,0.405,Alto
20340,83.15,0.386,Alto
20097,83.15,0.609,Alto
20504,77.22,0.427,Alto
20438,67.36,1.344,Muy alto
20541,79.17,0.291,Alto
20569,70.59,0.517,Alto
20548,59.95,0.741,Alto
20092,41.5,-0.275,Medio
20465,29.59,0.688,Alto
20163,77.22,1.304,Muy alto
20175,74.62,0.654,Alto
20400,73.76,0.327,Alto
20314,63.12,0.009,Medio
20236,60.13,2.009,Muy alto
20372,59.5,1.521,Muy alto
20562,56.11,-0.098,Medio
20247,40.77,-0.986,Bajo
20374,74.76,2.174,Muy alto
20445,52.41,0.838,Alto
20165,77.93,0.736,Alto
20301,48.63,0.339,Alto
20523,60.74,-0.121,Medio
20192,46.95,-0.826,Bajo
20508,50.5,-0.466,Medio
20110,65.52,1.391,Muy alto
20222,41.25,0.046,Medio
20429,90.4,1.282,Muy alto
20173,79.69,0.537,Alto
20080,67.24,0.565,Alto
20179,76.66,0.553,Alto
20477,52.37,0.812,Alto
20346,87.5,0.82,Alto
20456,68.72,0.608,Alto
20568,66.86,0.316,Alto
20362,54.83,0.429,Alto
20056,62.12,0.681,Alto
20237,58.45,-0.061,Medio
20292,66.23,1.097,Alto
20160,66.24,0.183,Alto
20183,86.41,1.272,Muy alto
20529,76.79,2.359,Muy alto
20048,71.31,1.596,Muy alto
20558,80.87,0.487,Alto
20473,23.16,-0.323,Medio
20216,46.06,0.271,Alto
20274,83.78,1.285,Muy alto
20245,73.72,1.047,Alto
20563,59.33,1.546,Muy alto
20317,75,0.405,Alto
20194,88.48,0.26,Alto
20221,72.4,0.204,Alto
20109,62.7,-0.262,Medio
20329,91.35,1.096,Alto
20053,49.17,-0.154,Medio
20065,69.4,1.254,Muy alto
20328,91.54,1.639,Muy alto
20128,49.77,0.065,Medio
20011,71.63,1.061,Alto
20034,69.83,0.364,Alto
20049,58.36,0.287,Alto
20251,90,1.326,Muy alto
20289,48.54,0.464,Alto
20564,92.63,0.929,Alto
20382,70.53,1.45,Muy alto
20250,78.38,0.162,Alto
20078,41.92,-0.844,Bajo
20270,62.07,1.604,Muy alto
20303,80.11,0.366,Alto
20241,67.27,0.531,Alto
20132,42.09,-0.207,Medio
20402,62.78,0.428,Alto
20319,60.5,0.811,Alto
20195,43.21,1.344,Muy alto
20365,66.94,0.095,Alto
20299,86.94,0.339,Alto
20168,61.99,0.635,Alto
20371,79.23,0.728,Alto
20522,68.97,0.907,Alto
20514,79.67,1.698,Muy alto
20544,72.73,0.319,Alto
20268,58.15,0.403,Alto
20239,69.91,0.304,Alto
20127,87.06,1.558,Muy alto
20283,74.42,0.134,Alto
20032,71.79,1.103,Alto
20262,66.06,-0.224,Medio
20142,73.82,1.222,Alto
20257,69.44,0.943,Alto
20155,67.92,1.547,Muy alto
20436,46.38,1.678,Muy alto
20528,81.97,1.197,Alto
20290,75.16,0.235,Alto
20458,71.11,0.114,Alto
20389,73.93,1.428,Muy alto
20144,84.08,0.554,Alto
20230,73.45,0.226,Alto
20501,70.95,0.273,Alto
20547,68.16,-0.05,Medio
20004,56.33,-0.165,Medio
20086,59.66,0.349,Alto
20359,74.33,0.729,Alto
20335,45.51,0.497,Alto
20432,28.13,-0.533,Bajo
20296,80,0.487,Alto
20001,86.79,1.077,Alto
20480,88.89,0.97,Alto
20451,89.01,2.243,Muy alto
20331,83.01,0.8,Alto
20361,57.2,0.701,Alto
20512,68.71,0.893,Alto
20238,49.35,0.096,Alto
20440,67.61,0.506,Alto
20542,72.69,0.694,Alto
20411,53.33,-0.338,Medio
20228,79.55,1.398,Muy alto
20018,84.09,0.628,Alto
20140,79.45,0.511,Alto
20322,80.08,1.502,Muy alto
20215,52.86,-0.373,Medio
20313,75.43,0.913,Alto
20357,45.6,-0.019,Medio
20008,20.19,-0.201,Medio
20506,76.69,0.411,Alto
20101,71.85,0.941,Alto
20304,84.3,1.647,Muy alto
20404,67.73,-0.32,Medio
20282,79.02,0.746,Alto
20355,86.17,1.318,Muy alto
20321,81.45,0.708,Alto
20022,84.42,0.141,Alto
20096,47.83,-0.66,Bajo
20258,75.76,0.152,Alto
20276,9.55,1.326,Muy alto
20316,37.14,0.223,Alto
20538,50,0.517,Alto
20320,70.9,0.595,Alto
20370,75.63,-0.107,Medio
20209,70.13,1.397,Muy alto
20121,65.93,0.362,Alto
20510,77.06,0.731,Alto
20114,89.01,0.568,Alto
20122,82.59,-0.335,Medio
20246,88.98,1.157,Alto
20204,94.12,0.091,Alto
20288,84.47,0.87,Alto
20422,73.74,0.319,Alto
20383,80,0.71,Alto
20199,50,1.195,Alto
20224,55.17,-0.36,Medio
20186,55.22,0.232,Alto
20311,62.04,1.253,Muy alto
20035,37.84,-1.106,Muy bajo
20218,58.44,0.883,Alto
20463,80.8,0.63,Alto
20493,67,-0.207,Medio
20461,82.58,1.562,Muy alto
20354,81.33,1.815,Muy alto
20419,60.27,-0.365,Medio
20471,43.92,-0.015,Medio
20416,64.86,0.916,Alto
20093,80.92,-0.092,Medio
20074,74,0.321,Alto
20408,62.67,0.062,Medio
20062,50,-0.614,Bajo
20223,15.38,-0.688,Bajo
20099,92.31,1.323,Muy alto
20443,70.19,-0.297,Medio
20423,72.09,0.512,Alto
20138,81.97,0.493,Alto
20181,77.48,0.533,Alto
20552,63.33,0.129,Alto
20100,62.65,0.926,Alto
20054,51.58,-0.106,Medio
20196,64.71,-0.243,Medio
20536,55.63,0.062,Medio
20444,71.62,0.319,Alto
20503,10.26,-0.52,Bajo
20476,88.16,-0.012,Medio
20119,88.37,1.029,Alto
20172,79.61,0.104,Alto
20147,80,0.487,Alto
20373,82.5,0.694,Alto
20129,75.83,-0.314,Medio
20430,65.43,1.431,Muy alto
20376,68.97,0.761,Alto
20464,76.84,0.712,Alto
20332,86.02,0.26,Alto
20120,78.26,0.303,Alto
20191,43.43,-0.128,Medio
20151,41.77,0.409,Alto
20524,49.52,-0.164,Medio
20287,79.52,0.309,Alto
20442,22.22,-0.435,Medio
20281,84.88,-0.036,Medio
20556,65,0.048,Medio
20106,85,0.519,Alto
20267,53.06,-0.264,Medio
20341,69.49,-0.299,Medio
20521,87.04,1.07,Alto
20256,80.43,0.138,Alto
20479,90.2,0.144,Alto
20518,88.64,-0.066,Medio
20488,80.95,0.004,Medio
20047,36.36,-0.594,Bajo
21114,33.83,-1.564,Muy bajo
21156,59.26,-0.687,Bajo
21132,49.62,-1.171,Muy bajo
21119,30.92,-1.652,Muy bajo
21019,52.56,-0.705,Bajo
21140,48.38,-1.166,Muy bajo
21015,41.61,-0.861,Bajo
21041,28.28,-1.618,Muy bajo
21071,53.77,-0.318,Medio
21174,61.37,-0.756,Bajo
21208,57.02,-0.156,Medio
21197,59.2,-0.105,Medio
21164,57.28,-0.534,Bajo
21085,61.42,-0.459,Medio
21154,56.07,-0.504,Bajo
21074,49.47,-0.966,Bajo
21010,76.29,1.242,Muy alto
21001,51.65,-0.286,Medio
21053,63.25,-0.136,Medio
21004,60.97,-0.234,Medio
21207,64.87,0.115,Alto
21186,64.72,-0.084,Medio
21177,76.63,0.767,Alto
21115,63.51,0.279,Alto
21043,73.53,1.027,Alto
21045,66.13,-0.325,Medio
21110,74.48,0.436,Alto
21034,47.98,-0.736,Bajo
21180,64.73,-0.432,Medio
21199,78.47,0.381,Alto
21003,61.68,-0.229,Medio
21051,61.92,-0.266,Medio
21054,72.65,0.312,Alto
21094,65.57,-0.32,Medio
21143,59.2,-0.504,Bajo
21104,42.14,-0.437,Medio
21142,63.3,-0.258,Medio
21194,49.11,-0.137,Medio
21179,75.58,0.147,Alto
21017,71.87,0.356,Alto
21106,60.56,0.181,Alto
21172,66.77,0.541,Alto
21118,70.6,-0.27,Medio
21076,77.8,0.527,Alto
21050,61.13,1.155,Alto
21149,71.25,0.336,Alto
21205,63.25,0.017,Medio
21069,70.99,0.278,Alto
21195,77.09,1.677,Muy alto
21083,66.52,0.56,Alto
21116,79.45,1.168,Alto
21109,72.91,0.757,Alto
21153,51.23,-0.52,Bajo
21090,54.29,-0.846,Bajo
21189,59.4,-0.396,Medio
21013,71.93,0.01,Medio
21169,63.88,0.405,Alto
21161,72.37,-0.025,Medio
21065,55.61,0.067,Medio
21035,61.06,0.166,Alto
21048,69.43,-0.473,Medio
21134,66.8,-0.592,Bajo
21047,61.01,-0.157,Medio
21058,75.86,1.256,Muy alto
21183,80.08,1.4,Muy alto
21099,74.99,0.564,Alto
21212,78.6,0.873,Alto
21072,79.05,2.434,Muy alto
21217,82.98,2.065,Muy alto
21108,62.82,-0.334,Medio
21111,66.24,0.933,Alto
21188,76.91,0.431,Alto
21163,40.23,-0.649,Bajo
21067,69.4,-0.086,Medio
21170,66.53,0.138,Alto
21214,75.5,0,Medio
21064,69.43,0.671,Alto
21049,75.7,1.581,Muy alto
21178,79.1,0.908,Alto
21211,53.51,-0.866,Bajo
21124,74.38,0.248,Alto
21044,67.07,-0.092,Medio
21006,67.88,1.443,Muy alto
21078,90.55,1.415,Muy alto
21063,67.6,-0.223,Medio
21144,63.11,-0.441,Medio
21026,58.34,-0.135,Medio
21117,44.01,-0.931,Bajo
21145,81.32,1.919,Muy alto
21036,81.06,1.679,Muy alto
21213,76.42,1.097,Alto
21129,82.53,0.278,Alto
21087,81.78,0.766,Alto
21075,79.01,0.44,Alto
21089,75.17,1.159,Alto
21175,71.1,-0.201,Medio
21202,79.68,1.146,Alto
21061,71.29,2.085,Muy alto
21102,61.79,-0.537,Bajo
21136,46.28,-1.268,Muy bajo
21022,68.61,0.284,Alto
21152,68.55,-0.111,Medio
21086,77.68,1.09,Alto
21138,75.19,0.472,Alto
21167,78.45,1.695,Muy alto
21107,77.6,2.394,Muy alto
21008,57.24,-0.276,Medio
21157,61.03,0.211,Alto
21091,55.09,-0.902,Bajo
21122,66.49,-0.649,Bajo
21040,46.86,0.264,Alto
21038,59.7,-0.171,Medio
21100,79.62,0.994,Alto
21137,73.82,0.448,Alto
21112,76.67,0.664,Alto
21023,77.85,0.817,Alto
21039,72.2,0.79,Alto
21148,70.55,0.684,Alto
