K_ENTIDAD_MUNICIPIO,HOGARES,POBLACION,SUPERFICIE,DENS_HOGS,DENS_HABS,ANALF,SPRIM,ANOS_PROMEDIO_DE_ESCOLARIDAD,OVSAE,OVSEE,PL<5000,PO2SM,INGRESOPC_ANUAL,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,NUM_OPS,CLASS_PEN_BAF_HABS_COAXFO,IS_PEN_BAF_HABS_COAXFO
05017,27215,108950,806.03,3376.4251950919943,3376.4251950919943,3.16,15.05,8.16,1.4,0.2,42.25,42.72,2824.84,17.8614734521403,26.9740951681058,82.8329965092779,18.3648723130626,2,1,1
05018,65951,231107,1251.51,5269.714185264202,5269.714185264202,1.34,6.85,10.28,1.16,0.17,0.43,17.88,4319.75,44.2567260153477,54.2873608541357,88.2783827231641,49.4055021383724,3,1,1
05019,2453,8599,639.14,383.7969771880965,383.7969771880965,2.55,11.86,8.4,0.98,0.05,16.66,33.02,2546.3,30.941704035874402,48.5935589074602,78.0269058295964,40.4402772115776,1,0,0
05020,19303,69102,8288.43,232.89090937608208,232.89090937608208,2.8,13.85,8.28,1.67,0.93,10.42,33.15,3350.86,29.688391144294,56.3851298802302,76.2897288328926,39.9388188935552,1,1,1
05021,1937,6614,716.57,270.3155309320792,270.3155309320792,3.3,12.1,8.41,1.03,0.56,100,30.49,4112.75,8.26019617965926,34.3830665978317,83.9958699019101,13.9907072792978,1,0,0
05022,8409,30698,907.93,926.1727225667178,926.1727225667178,2.38,12.56,8.16,1.67,0.49,20.54,30.23,3652.28,31.6208823879177,52.4913782851706,84.9565941253419,35.5095730764656,1,1,1
05023,3152,11671,26024.4,12.111710548562119,12.111710548562119,4.4,18.88,7.57,6.66,1.5,100,33.26,2542.26,12.2299872935196,68.6467598475222,70.1715374841169,18.0432020330368,1,0,0
05024,12332,44799,10620.64,116.11352988143841,116.11352988143841,4.21,13.73,8.61,6.83,0.57,25.51,54.54,2817.38,23.2808952319169,38.0554654557249,75.6811547194291,28.9004216672072,1,1,1
05025,45067,163595,474.44,9498.988280920665,9498.988280920665,1.5,8.63,9.28,0.82,0.17,1.72,31.7,3135.39,39.4346195664233,42.9937648390174,88.5459427075243,35.8510661903388,1,1,1
05026,972,3304,2886.53,33.67364967625488,33.67364967625488,4.65,22.42,6.57,1.15,0.42,100,32.39,3276.11,15.9465020576131,55.8641975308642,64.917695473251,36.4197530864197,1,0,0
05027,25665,92828,6754.39,379.97509767721436,379.97509767721436,2.01,8.25,9.83,1.48,0.43,11.8,16.54,4689.04,38.0674069744788,49.2109877264757,88.6382232612507,31.4942528735632,1,1,1
05028,18647,63522,1976.24,943.55948670202,943.55948670202,1.94,9.89,9.33,1.08,0.24,9.77,23.73,3643.48,39.386299018293,58.7683064213293,81.6157931441446,50.1636178316614,1,1,1
05029,683,2360,289.37,236.02999619863843,236.02999619863843,3.72,14.07,8.13,0.17,0.08,100,31.71,4080.28,12.0058565153733,49.4875549048316,88.4333821376281,16.6910688140556,1,0,0
05030,213329,807537,5619.58,3796.1733795052296,3796.1733795052296,1.54,7.13,10.37,1.87,0.24,2.13,17.01,4813.52,46.8486547821112,44.9745397938801,86.7649127413562,45.1489633054193,2,1,1
05031,7108,23587,6443.06,110.32025155748977,110.32025155748977,1.82,8.34,9.41,1.32,0.1,7.53,21.91,3882.76,28.1232414181204,44.2177827799662,85.1153629712999,35.2560495216657,1,1,1
05032,13001,43232,802.41,1620.2440149050985,1620.2440149050985,1.64,9.76,9.27,0.96,0.37,8.38,29.36,3648.65,38.4751500230804,53.5543929835359,78.8659793814433,52.0080012309586,1,1,1
05033,26729,106142,7143.98,374.14718406266536,374.14718406266536,4.66,18.46,7.72,5.38,0.4,44.86,56.32,2050.32,18.1760347279395,37.7292118853379,77.1835940423621,16.376019759,2,1,1
05034,1887,6988,7921.74,23.820524278756942,23.820524278756942,3.37,12.01,8.02,3.21,0.59,100,21.19,4126.47,13.6847710330138,65.1757188498402,69.1693290734824,17.1458998935037,2,1,1
05035,191913,679288,1282.75,14961.060222178912,14961.060222178912,1.49,7.91,10.39,0.65,0.09,4.81,31.8,4001.88,42.3138256292667,46.5751211631664,86.8758142685913,44.7673146073271,3,2,1
05036,5417,21549,4401.76,123.0644105993966,123.0644105993966,5.42,23.26,6.67,7.44,0.52,100,57.4,1825.96,3.52723915050784,26.2234533702677,63.3795013850415,13.6842105263157,1,0,0
05037,1848,6352,1854.53,99.64788922260627,99.64788922260627,2.92,15.84,7.38,0.52,0.43,14.92,46.93,2597.97,16.9372294372294,42.0995670995671,80.3571428571428,28.8961038961039,1,0,0
05038,3905,13257,7938.74,49.18916603894321,49.18916603894321,2.75,17.74,7.75,1.34,0.56,17.64,40.06,3000.36,24.1096592364847,49.3210351012042,76.8383294901358,36.8946963873943,1,1,1
06001,8144,29599,408.8,1992.1722113502933,1992.1722113502933,8.71,29.67,6.47,2.99,0.42,22.9,55.33,2638.58,15.6727451946771,44.3937900443568,75.9857072449482,27.1931986200098,1,1,1
06002,45769,150673,746.13,6134.185731708952,6134.185731708952,2.86,12.06,10.17,0.78,0.63,6.48,27.82,4353.37,49.8535647156532,47.3270096603575,87.3737815272981,50.0196704113301,3,4,1
06003,5899,21544,314.51,1875.616037645862,1875.616037645862,3.99,18.26,7.87,0.9,0.63,54.79,43.61,3009.98,28.0746395250212,29.6861747243426,72.7056827820186,33.2824427480916,1,0,0
06004,5674,20198,526.99,1076.6807719311562,1076.6807719311562,5.55,22.48,7.47,0.77,0.47,31.09,39.65,2744.27,25.290800140994,33.9971801198449,79.7144871342968,31.9527670074021,1,0,0
06005,8486,30198,412.14,2059.009074586306,2059.009074586306,3.5,16.64,8.35,0.44,0.24,36.5,35.19,2966.53,30.7329719538062,38.34551025218,78.91821824181,41.3504595804855,2,1,1
06006,1610,5527,374.93,429.41349051823005,429.41349051823005,10.61,28.18,6.63,1.54,0.76,100,62.42,2178.88,9.93788819875776,40.0621118012422,59.4409937888198,18.8819875776397,1,0,0
06007,52759,184541,1357.16,3887.456158448525,3887.456158448525,3.05,12.04,9.25,0.93,0.17,13.09,22.39,3886.67,38.2793372430678,55.1253582341665,88.2783882783882,37.1386816982671,3,1,1
06008,2497,8985,414.9,601.8317666907689,601.8317666907689,6.02,20.5,7.41,3.16,0.49,100,33.78,2451.81,12.7360385697067,49.6986741663318,76.0546404178385,22.8605865809562,1,0,0
06009,32183,123191,940.77,3420.921160326116,3420.921160326116,7.38,26.67,7.06,1.4,0.57,12.2,46.58,2884.79,19.9900252485895,45.8589196097378,77.282503662604,27.8420248745363,1,1,1
06010,42222,136779,287.83,14669.075495952473,14669.075495952473,1.71,7.71,11.05,0.34,0.18,1.96,24.88,4469.63,52.5607875696833,51.8847111849128,93.0375993357846,43.8927766575732,2,1,1
