K_ENTIDAD_MUNICIPIO,ANOS_PROMEDIO_DE_ESCOLARIDAD,ANOS_ESPERADOS_DE_ESCOLARIZACIÓN,INGRESOPC_ANUAL,TASA_DE_MORTALIDAD_INFANTIL,INDICE_DE_EDUCACION,INDICE_DE_SALUD,INDICE_DE_INGRESO,IDH
21190,6.63,12.07,1257.49,23.93,0.56,0.81,0.64,0.66
14011,6.15,11.72,1842.27,27.54,0.53,0.78,0.7,0.66
12023,5.69,11.87,1980.39,27.1,0.52,0.78,0.71,0.66
14071,5.49,11.4,2267.27,26.14,0.5,0.79,0.73,0.66
24023,5.69,11.82,1741.88,24.28,0.52,0.81,0.69,0.66
32046,5.56,11.86,1595.15,21.87,0.52,0.83,0.68,0.66
21020,6.38,12.04,1355.06,24.16,0.55,0.81,0.65,0.66
31047,5.43,12.74,1749.28,27.36,0.53,0.78,0.69,0.66
32043,5.72,12.79,1494.34,26.12,0.55,0.79,0.67,0.66
31084,5.57,12.26,1677.25,25.12,0.53,0.8,0.69,0.66
21118,6.09,10.63,1592.49,18.72,0.5,0.86,0.68,0.66
31046,5.15,11.44,2503.33,26.35,0.49,0.79,0.75,0.66
16010,5.93,12.69,1963.56,32.35,0.55,0.74,0.71,0.66
07016,5.76,11.96,1450.11,21.73,0.52,0.83,0.66,0.66
14117,5.59,10.68,2299.09,23.46,0.48,0.82,0.73,0.66
31076,5.59,11.41,2231.85,26.79,0.5,0.79,0.73,0.66
14068,5.87,11.77,2206.44,30.05,0.52,0.76,0.73,0.66
13001,5.69,11.73,1693.04,23.56,0.52,0.81,0.69,0.66
20419,6.42,12.99,924.42,20.23,0.57,0.84,0.6,0.66
13014,5.46,12.59,1635.97,25.81,0.53,0.8,0.68,0.66
15001,6.38,12.58,1518.5,29.46,0.56,0.76,0.67,0.66
21192,6.05,13.29,1296.4,27.58,0.57,0.78,0.65,0.66
30063,5.47,12.8,1470.74,24.79,0.54,0.8,0.67,0.66
31035,5.35,12.05,1885.12,25.51,0.51,0.8,0.7,0.66
07032,6.01,12.23,1555.55,26.35,0.54,0.79,0.67,0.66
21214,5.55,11.34,1869.47,22.96,0.5,0.82,0.7,0.66
14099,6.13,12.27,1839.88,30.67,0.55,0.75,0.7,0.66
20349,5.48,12.63,1707.02,27.4,0.53,0.78,0.69,0.66
25007,5.7,12.3,2173.98,31.77,0.53,0.74,0.72,0.66
20268,6.17,11.98,1498.31,25.61,0.54,0.8,0.67,0.66
21067,5.85,11.79,1617.25,24.4,0.52,0.81,0.68,0.66
21012,5.9,12.29,1469.95,25.18,0.54,0.8,0.67,0.66
31012,5.54,12,1622.12,23.74,0.52,0.81,0.68,0.66
16044,5.95,11.48,1800.44,25.8,0.52,0.8,0.7,0.66
31014,5.58,12.66,1734.88,28.69,0.54,0.77,0.69,0.66
32002,6.02,11.9,1400.01,23.1,0.53,0.82,0.66,0.66
30091,5.4,11.62,1541.17,19.88,0.5,0.85,0.67,0.66
20443,6.73,12.78,857.8,19.95,0.58,0.85,0.58,0.66
07063,6.28,12.04,1223.77,22.39,0.54,0.82,0.64,0.66
21075,6.09,12.56,1392.7,26.64,0.55,0.79,0.66,0.66
31066,5.75,11.94,1751.93,26.53,0.52,0.79,0.69,0.66
19024,6.21,12.02,2022.41,32.29,0.54,0.74,0.71,0.66
20239,6.84,12.89,1087.17,26.84,0.59,0.79,0.62,0.66
20122,6.34,12.51,926.36,18.47,0.56,0.86,0.6,0.66
07003,6,12.12,1305.9,22.74,0.54,0.82,0.65,0.66
08042,5.75,10.02,2481.34,23.51,0.47,0.81,0.74,0.66
07085,5.51,11.44,1217.71,14.4,0.5,0.89,0.64,0.66
15097,6.61,11.82,1456.53,27.41,0.55,0.78,0.66,0.66
20547,6.03,13.52,995.1,23.58,0.58,0.81,0.61,0.66
20281,6.09,12.48,1152.2,22.56,0.55,0.82,0.63,0.66
20558,6.3,12.07,1294.81,24.55,0.55,0.81,0.65,0.66
16093,6.45,11.97,1538.7,28.74,0.55,0.77,0.67,0.66
14040,6.02,11.67,1511.3,24.45,0.53,0.81,0.67,0.66
24006,5.96,11.44,1530.19,23.14,0.52,0.82,0.67,0.66
26040,6.15,11.03,1655.22,23.86,0.51,0.81,0.68,0.66
07062,5.4,11.63,1628.04,21.97,0.5,0.83,0.68,0.66
21025,6.4,12.13,1551.78,29.42,0.55,0.76,0.67,0.66
16074,5.34,11,1874.22,21.2,0.48,0.83,0.7,0.66
19017,6.57,11.75,1907.27,32.63,0.55,0.74,0.7,0.66
16104,5.58,11.63,1740.06,24.57,0.51,0.81,0.69,0.66
14086,6.4,11.2,2008.73,30.24,0.52,0.76,0.71,0.66
31098,5.84,12.03,1669.37,27.38,0.53,0.78,0.68,0.66
20334,5.66,11.52,1833.41,25.73,0.51,0.8,0.7,0.66
21013,5.47,10.83,2056.91,23.19,0.48,0.82,0.72,0.66
16103,6.27,11.16,1984.73,29.25,0.52,0.77,0.71,0.66
24054,6.42,12.44,1249.69,26.7,0.56,0.79,0.64,0.66
14014,5.93,11.71,1709.95,27.06,0.52,0.78,0.69,0.66
11008,5.85,10.84,2136.73,26.56,0.5,0.79,0.72,0.66
16098,6.68,11.77,1850.43,33.07,0.55,0.73,0.7,0.66
16007,6.49,11.83,1662.14,30.38,0.55,0.76,0.68,0.66
08051,6.14,10.42,2255.24,27.43,0.49,0.78,0.73,0.66
21017,5.82,11.9,1582.61,25.99,0.52,0.79,0.68,0.66
28023,6.06,10.73,1872.85,24.98,0.5,0.8,0.7,0.66
15004,6.36,12.33,1581.09,31.05,0.55,0.75,0.68,0.66
21106,5.54,11.72,1692.06,24.83,0.51,0.8,0.69,0.66
14048,5.29,10.35,2724.25,25.27,0.46,0.8,0.76,0.66
30088,4.97,12.46,1397.13,21.08,0.51,0.84,0.66,0.66
16003,5.98,11.58,1611.31,25.93,0.52,0.79,0.68,0.66
16001,5.98,11.74,1703.41,27.85,0.53,0.78,0.69,0.66
28039,6.04,11.54,1722.74,27.47,0.52,0.78,0.69,0.66
08022,5.62,11.83,1552.18,24.31,0.52,0.81,0.67,0.65
21205,5.68,11.28,1642.6,22.97,0.5,0.82,0.68,0.65
20408,6.37,13.14,1102.91,27.39,0.58,0.78,0.62,0.65
16041,5.8,12.17,1650.15,28.4,0.53,0.77,0.68,0.65
30036,5.5,11.84,1639.58,24.86,0.51,0.8,0.68,0.65
24014,6.43,12.52,1123.47,25.41,0.56,0.8,0.62,0.65
30173,5.46,11.62,1498.42,21.62,0.5,0.83,0.67,0.65
26069,6.17,11.43,1795.67,28.75,0.52,0.77,0.7,0.65
31031,5,13.13,1612.31,28.06,0.53,0.78,0.68,0.65
07071,5.54,12,1602.72,25.62,0.52,0.8,0.68,0.65
31034,5.51,11.6,1859.09,26.42,0.51,0.79,0.7,0.65
31080,4.98,11.34,2353.74,26.35,0.48,0.79,0.74,0.65
31015,5.8,10.91,1837.08,24.46,0.5,0.81,0.7,0.65
29046,6.42,11.55,1246.07,23.28,0.53,0.82,0.64,0.65
20400,5.5,12.28,1577.54,26.55,0.52,0.79,0.68,0.65
20380,5.81,12.17,1475.99,26.55,0.53,0.79,0.67,0.65
14010,6.17,11.06,1752.86,26.82,0.51,0.79,0.69,0.65
21040,6.18,11.63,1617.32,28.01,0.53,0.78,0.68,0.65
21026,5.53,12.3,1586.46,27.15,0.53,0.78,0.68,0.65
30194,5.47,11.68,1631.27,24.34,0.51,0.81,0.68,0.65
16033,5.83,11.2,1990.92,28.18,0.51,0.78,0.71,0.65
21105,5.9,12.66,1266.73,26.43,0.55,0.79,0.64,0.65
05011,6.91,11.3,1906.13,33.92,0.54,0.73,0.7,0.65
32016,5.84,11.34,1638.2,25.06,0.51,0.8,0.68,0.65
24044,5.87,11.23,1273.23,19.17,0.51,0.85,0.64,0.65
21130,5.65,12.45,1220.63,23.26,0.53,0.82,0.64,0.65
22010,5.18,12.21,1762.5,27.12,0.51,0.78,0.69,0.65
13004,5.81,11.76,1459.82,24.72,0.52,0.8,0.66,0.65
28020,6.34,11.77,1280.32,25.13,0.54,0.8,0.64,0.65
21124,5.83,11.49,1953.51,29.45,0.51,0.76,0.71,0.65
32028,5.76,11.86,1347.67,23.24,0.52,0.82,0.65,0.65
21152,5.57,11.97,1359.99,22.9,0.52,0.82,0.65,0.65
24057,6.21,12.29,1262.94,26.63,0.55,0.79,0.64,0.65
30142,5.38,11.83,1655.1,25.23,0.51,0.8,0.68,0.65
28031,5.96,12.06,1445.2,27.03,0.53,0.78,0.66,0.65
