K_ENTIDAD_MUNICIPIO,ANOS_PROMEDIO_DE_ESCOLARIDAD,ANOS_ESPERADOS_DE_ESCOLARIZACIÓN,INGRESOPC_ANUAL,TASA_DE_MORTALIDAD_INFANTIL,INDICE_DE_EDUCACION,INDICE_DE_SALUD,INDICE_DE_INGRESO,IDH
07045,5.01,11.6,1343.3,23.31,0.49,0.82,0.65,0.64
30010,5.49,11.65,1552.7,29.67,0.51,0.76,0.67,0.64
08064,5.35,11.44,1429.46,26.08,0.5,0.79,0.66,0.64
21111,5.04,12.25,1442.59,28.6,0.51,0.77,0.66,0.64
20064,5.74,11.6,1277.19,26.99,0.51,0.79,0.64,0.64
16079,5.51,10.8,1516.48,25.1,0.48,0.8,0.67,0.64
07092,5.33,11.53,1345.06,25.21,0.5,0.8,0.65,0.64
24026,5.96,13.26,919.54,28.7,0.57,0.77,0.59,0.64
20544,5.67,12.26,1095.31,26.58,0.53,0.79,0.62,0.64
19043,5.57,11.42,1538.94,29.24,0.5,0.77,0.67,0.64
30177,5.47,11.51,1338.72,26.21,0.5,0.79,0.65,0.64
10025,5.89,10.59,1489.26,26.3,0.49,0.79,0.67,0.64
08056,5.18,12.22,1158.28,24.89,0.51,0.8,0.63,0.64
13073,5.59,12.43,1222.63,29.51,0.53,0.76,0.64,0.64
31032,5.09,11.58,1764.86,30.01,0.49,0.76,0.69,0.64
21083,5.14,12.65,1182.6,27.39,0.52,0.78,0.63,0.64
20503,5.34,11.65,1268.14,25.12,0.5,0.8,0.64,0.64
20362,5.33,12.08,1362.25,28.79,0.51,0.77,0.65,0.64
12080,5.12,11.83,1546.54,28.96,0.5,0.77,0.67,0.64
07073,5.44,12.19,1039.16,24.05,0.52,0.81,0.61,0.64
20471,6.07,12.84,889.49,27.26,0.56,0.78,0.59,0.64
21002,5.51,11.46,1602.36,30.32,0.5,0.76,0.68,0.64
21199,5.26,10.85,1653.65,26.23,0.48,0.79,0.68,0.64
31081,5.17,12.88,1115.28,27.72,0.53,0.78,0.62,0.64
14049,5.03,10.82,2133.63,29.72,0.47,0.76,0.72,0.64
20533,5.65,11.77,1320.22,28.87,0.52,0.77,0.65,0.64
31043,5.46,12.27,1188.68,28.05,0.52,0.78,0.63,0.64
20124,4.79,11.5,1851.08,29.35,0.48,0.77,0.7,0.64
15021,6.09,10.97,1886.33,34.78,0.51,0.72,0.7,0.64
19030,6.22,12.27,1989.42,41.9,0.55,0.66,0.71,0.64
30050,5.26,12.39,1293.23,29.43,0.52,0.76,0.65,0.64
20556,5.68,12.4,904.29,23.87,0.53,0.81,0.59,0.64
16083,5.26,10.52,1808.54,26.86,0.47,0.79,0.7,0.64
15117,6.05,11.46,1540.65,33.24,0.52,0.73,0.67,0.64
28036,5.68,11.55,1273.74,27.75,0.51,0.78,0.64,0.63
20368,5.39,11.83,1197.32,26.07,0.51,0.79,0.63,0.63
19014,6.13,11.75,1743.6,37.4,0.53,0.7,0.69,0.63
20402,5.99,10.71,1264.52,25.27,0.5,0.8,0.64,0.63
15080,5.79,12.34,1427.28,34.5,0.54,0.72,0.66,0.63
16067,5.17,11.18,1520.67,26.64,0.48,0.79,0.67,0.63
31077,5.16,11.99,1428.45,29.52,0.5,0.76,0.66,0.63
20442,5.29,11.71,1129.94,23.86,0.5,0.81,0.63,0.63
30096,5.21,11.83,1103.79,23.5,0.5,0.81,0.62,0.63
20120,5.6,12.45,1223.22,31.17,0.53,0.75,0.64,0.63
30188,5.03,11.41,1431.15,25.95,0.48,0.79,0.66,0.63
16059,5.38,11.52,1599.12,31.08,0.5,0.75,0.68,0.63
07025,5.75,12.54,972.04,27.54,0.54,0.78,0.6,0.63
20303,6.04,12.18,1000.73,28.15,0.54,0.78,0.61,0.63
31087,4.76,11.05,2140.32,30.46,0.47,0.76,0.72,0.63
20378,5.96,12.07,1108.62,29.5,0.53,0.76,0.62,0.63
20230,4.83,11.46,1385.69,24.52,0.48,0.81,0.66,0.63
14069,4.78,10.49,2578.29,31.1,0.45,0.75,0.75,0.63
16004,5.44,10.8,1555.31,27.44,0.48,0.78,0.67,0.63
21099,5.1,11.3,1497.59,27.19,0.48,0.78,0.67,0.63
31024,4.87,11.53,1625.4,28.87,0.48,0.77,0.68,0.63
26049,5.81,11.45,1605.63,33.88,0.51,0.73,0.68,0.63
32041,5.54,11.59,1282.49,28.46,0.51,0.77,0.64,0.63
07042,5.57,11.17,1128.26,23.66,0.5,0.81,0.63,0.63
12022,4.81,10.57,1375.33,19.64,0.45,0.85,0.66,0.63
16016,5.48,11.51,1428.63,30.09,0.5,0.76,0.66,0.63
21018,5.48,12.78,1092.67,30.54,0.54,0.75,0.62,0.63
20128,4.86,12.54,1214.2,28.13,0.51,0.78,0.64,0.63
21103,5.55,11.67,1338.88,30.02,0.51,0.76,0.65,0.63
16080,5.61,11.51,1558.04,32.72,0.51,0.74,0.67,0.63
21178,4.79,12.25,1378.66,29.03,0.5,0.77,0.66,0.63
20422,6.02,12.32,875.06,26.48,0.54,0.79,0.59,0.63
20530,5.98,11.72,1051.02,27.65,0.53,0.78,0.61,0.63
20070,5.73,12.14,1318.79,33,0.53,0.73,0.65,0.63
22002,5.44,11.51,1482.21,30.81,0.5,0.75,0.67,0.63
20076,5.54,11.61,1186.05,27.22,0.51,0.78,0.63,0.63
12024,4.87,11.61,1122.55,21.74,0.48,0.83,0.62,0.63
20190,5.28,11.01,1509.55,27.65,0.48,0.78,0.67,0.63
20356,5.63,10.63,1359.41,25.71,0.48,0.8,0.65,0.63
21113,4.94,11.92,1119.28,23.9,0.5,0.81,0.62,0.63
20160,5.18,10.55,1479.68,24.21,0.47,0.81,0.67,0.63
21086,4.99,12.53,1345.93,31.3,0.51,0.75,0.65,0.63
21009,5.18,12.2,1007.27,24.55,0.51,0.81,0.61,0.63
07084,5.11,11.62,1007,21.04,0.49,0.84,0.61,0.63
21055,5.47,11.99,1069.11,26.74,0.52,0.79,0.62,0.63
20548,5.52,11.6,1260,28.84,0.51,0.77,0.64,0.63
21200,5.66,12.33,1118.82,30.7,0.53,0.75,0.62,0.63
31030,5.21,11.41,1456.68,29.2,0.49,0.77,0.66,0.63
31099,4.77,12.2,1304.27,28.22,0.5,0.77,0.65,0.63
30098,5.24,11.72,1049.98,23.98,0.5,0.81,0.61,0.63
07099,4.85,11.04,1118.1,19.02,0.47,0.85,0.62,0.63
15119,5.56,11.37,1452.45,31.16,0.5,0.75,0.66,0.63
20176,5.99,12.06,1001.46,29.12,0.53,0.77,0.61,0.63
20504,5.84,12.25,1002.31,29.21,0.54,0.77,0.61,0.63
20300,5.64,11.53,1183.47,28.23,0.51,0.77,0.63,0.63
30046,4.84,11.23,1460.54,26.23,0.47,0.79,0.66,0.63
15066,5.36,11.77,1232.39,28.7,0.51,0.77,0.64,0.63
20156,5.57,11.63,1073.12,26.24,0.51,0.79,0.62,0.63
21069,5.36,10.55,1479.46,26.24,0.47,0.79,0.67,0.63
20055,5.31,10.32,1468.75,24.51,0.46,0.81,0.67,0.63
21024,4.5,12.33,1167.35,25.19,0.49,0.8,0.63,0.63
16064,5.4,10.47,1806.81,30.15,0.47,0.76,0.7,0.63
07090,5.08,12.45,879.98,22.8,0.52,0.82,0.59,0.63
20262,5.67,11.59,902.75,22.6,0.51,0.82,0.59,0.63
24030,4.77,11.41,1403.33,26.14,0.48,0.79,0.66,0.63
28034,5.92,11.34,1184.71,29.34,0.51,0.77,0.63,0.63
21016,5.46,11.64,1233.89,29.01,0.51,0.77,0.64,0.63
16042,4.98,10.05,1766.68,24.79,0.45,0.8,0.69,0.63
20290,5,11.21,1232.53,23.88,0.48,0.81,0.64,0.63
20475,4.77,12.04,1312.29,28.18,0.49,0.78,0.65,0.63
30023,4.65,11.29,1181.95,20.97,0.47,0.84,0.63,0.63
20441,4.32,11.07,1509.11,22.95,0.45,0.82,0.67,0.63
20371,5.54,13.38,984.3,32.78,0.56,0.74,0.61,0.63
32015,5.18,11.6,1194.49,26.52,0.49,0.79,0.63,0.63
20456,4.65,11.92,1282.11,26.52,0.49,0.79,0.64,0.63
16062,5.59,10.48,1775.49,31.56,0.48,0.75,0.69,0.63
11006,5.29,12.6,1104.19,30.59,0.53,0.75,0.62,0.63
16063,4.97,11.21,1628.7,29.88,0.48,0.76,0.68,0.63
20130,4.79,12.56,1225.3,29.9,0.51,0.76,0.64,0.63
13068,4.69,12.47,1279.52,29.78,0.5,0.76,0.64,0.63
20536,5.52,11.83,1033.25,26.95,0.51,0.79,0.61,0.63
21191,4.78,11.42,1366.89,26.51,0.48,0.79,0.65,0.63
20552,5.71,12.13,846.95,25.34,0.53,0.8,0.58,0.63
07053,5.43,11.29,940.1,21.84,0.49,0.83,0.6,0.63
12026,4.63,11.37,1139.32,21.62,0.47,0.83,0.63,0.63
11029,5.22,11.02,1753.3,32.66,0.48,0.74,0.69,0.63
20121,5.46,12.65,848.04,26.7,0.53,0.79,0.58,0.63
20405,5.13,10.97,1310.42,26.07,0.48,0.79,0.65,0.63
20358,4.83,12.45,1189.25,29.85,0.51,0.76,0.63,0.63
16054,5.3,11.37,1174.89,26.95,0.49,0.79,0.63,0.63
16037,5.23,10.92,1344.18,27.14,0.48,0.78,0.65,0.62
20549,4.65,11.77,1375.36,28.5,0.48,0.77,0.66,0.62
13043,5.82,11.71,1024.63,28.9,0.52,0.77,0.61,0.62
07036,5.91,11.66,794.24,23.14,0.52,0.82,0.57,0.62
18005,5.97,11.74,979.19,28.94,0.53,0.77,0.6,0.62
25003,5.78,11.92,1646.6,39.13,0.52,0.68,0.68,0.62
21177,5.06,11.35,1491.37,30.69,0.48,0.75,0.67,0.62
12008,4.7,10.54,1387.53,22.32,0.45,0.82,0.66,0.62
14031,5.15,12.05,1407,33.56,0.51,0.73,0.66,0.62
20518,6.19,10.83,785.27,20.46,0.51,0.84,0.57,0.62
20046,5.12,12.51,1061.27,29.7,0.52,0.76,0.62,0.62
30209,4.57,11.84,1396.4,28.98,0.48,0.77,0.66,0.62
20526,5.03,11.02,1597.02,30.47,0.47,0.76,0.68,0.62
10037,5.75,9.98,1495.68,28.28,0.47,0.77,0.67,0.62
30187,4.77,11.23,1028.88,20.3,0.47,0.84,0.61,0.62
20317,5.69,11.92,924.5,27.5,0.52,0.78,0.6,0.62
07004,4.82,11.11,1396.85,27.08,0.47,0.78,0.66,0.62
20447,4.74,10.84,1397.58,25.12,0.46,0.8,0.66,0.62
20440,4.68,13.82,824.2,28.11,0.54,0.78,0.58,0.62
12040,5.42,11.01,1336.7,29.47,0.49,0.76,0.65,0.62
07044,5.82,10.88,1028.98,25.61,0.5,0.8,0.61,0.62
20238,5.8,11.65,902.62,26.43,0.52,0.79,0.59,0.62
20439,4.96,11.19,1512.89,30.24,0.48,0.76,0.67,0.62
11019,5.32,11.04,1453.9,31.09,0.48,0.75,0.66,0.62
20360,5.39,11.88,1214.92,31.97,0.51,0.74,0.64,0.62
07009,5.5,10.47,1684.75,32.23,0.47,0.74,0.69,0.62
13002,5.16,10.64,1549.77,29.4,0.47,0.76,0.67,0.62
20022,6.19,12.32,680.91,25.29,0.55,0.8,0.55,0.62
31104,4.95,11.52,1611.66,33.43,0.49,0.73,0.68,0.62
24049,5.09,11.14,1248.21,27.11,0.48,0.78,0.64,0.62
20241,5,12.11,1151.57,29.85,0.5,0.76,0.63,0.62
20312,5.07,12.38,1295.1,33.98,0.51,0.73,0.65,0.62
30163,4.96,11.81,1053.77,26.15,0.49,0.79,0.62,0.62
21115,4.75,10.21,1668.22,25.88,0.44,0.79,0.68,0.62
20541,5.68,12.18,917.59,29.2,0.53,0.77,0.59,0.62
20093,5.72,11.38,816.29,22.64,0.51,0.82,0.58,0.62
31094,5.27,11.53,1205.02,29.76,0.5,0.76,0.64,0.62
30201,5.18,11.94,1333.24,33.31,0.5,0.73,0.65,0.62
21212,5.19,11.82,1170.78,30.1,0.5,0.76,0.63,0.62
21088,5.37,12.34,1193.51,34,0.52,0.73,0.63,0.62
30086,4.99,10.69,1365.39,26.26,0.46,0.79,0.65,0.62
20147,5.58,11.72,871.78,25.36,0.51,0.8,0.59,0.62
21110,4.9,10.64,1580.18,28.45,0.46,0.77,0.68,0.62
20094,5.81,11.95,862.83,27.65,0.53,0.78,0.59,0.62
20510,5.93,12.97,754.63,29.96,0.56,0.76,0.56,0.62
21112,5.14,11.49,1099.01,26.95,0.49,0.79,0.62,0.62
20103,5.98,11.51,1095.87,32.01,0.52,0.74,0.62,0.62
32021,6.14,11.99,1191.41,36.77,0.54,0.7,0.63,0.62
20041,4.99,11.42,1664.2,34.37,0.48,0.72,0.68,0.62
13047,4.96,11.74,1196.25,29.24,0.49,0.77,0.63,0.62
20377,5.42,12.26,1140.55,33.48,0.52,0.73,0.63,0.62
20340,5.59,12.3,801.42,26.76,0.53,0.79,0.57,0.62
12065,4.35,11.06,1276.18,23.07,0.45,0.82,0.64,0.62
21137,4.97,10.7,1312.9,25.98,0.46,0.79,0.65,0.62
21147,5.18,12.4,1037.54,31.08,0.52,0.75,0.61,0.62
21011,4.93,11.35,1138.67,26.37,0.48,0.79,0.63,0.62
20186,4.8,11.19,1261.6,26.98,0.47,0.79,0.64,0.62
20283,5.88,10.3,976.83,23.51,0.48,0.81,0.6,0.62
21089,4.24,12.15,1311.01,29.48,0.48,0.76,0.65,0.62
20198,3.98,11.78,1423.76,27.57,0.46,0.78,0.66,0.62
20365,6.66,11.87,639.54,25.85,0.55,0.79,0.54,0.62
21187,5.14,11.74,1305.48,32.86,0.5,0.74,0.65,0.62
30064,5.04,12.6,875.36,27.85,0.52,0.78,0.59,0.62
20537,4.91,11.1,1272.22,27.76,0.47,0.78,0.64,0.62
30047,5.04,10.76,1597.15,31.71,0.47,0.75,0.68,0.62
20568,4.41,12.26,1040.49,26.65,0.49,0.79,0.61,0.62
20316,5.49,12.63,831.63,29.84,0.53,0.76,0.58,0.62
30166,4.34,10.64,1437.26,24.47,0.44,0.81,0.66,0.62
20165,5.17,11.36,1110.05,28.38,0.49,0.77,0.62,0.62
21030,4.32,13.59,912.39,30.15,0.52,0.76,0.59,0.62
24019,4.45,11.93,1192.13,28.56,0.48,0.77,0.63,0.62
20279,5.17,12.14,1009.83,30.43,0.51,0.76,0.61,0.62
07028,4.11,11.18,1109.89,20.42,0.45,0.84,0.62,0.62
24047,4.95,11,1174.01,26.58,0.47,0.79,0.63,0.62
21027,4.97,12.46,919.37,28.94,0.51,0.77,0.59,0.62
12031,4.98,10.95,1127.28,25.8,0.47,0.8,0.63,0.62
21201,4.61,11.62,1234.53,29.01,0.48,0.77,0.64,0.62
20309,4.77,11.08,1473.82,31,0.47,0.75,0.67,0.62
21185,5.07,10.11,1434.25,27.06,0.45,0.78,0.66,0.62
20432,5.65,12.34,674.32,25.07,0.53,0.8,0.55,0.62
16061,5.66,11.06,1374.94,35.04,0.5,0.72,0.66,0.62
16026,5.05,11.56,1389.34,34.23,0.49,0.72,0.66,0.62
21215,5.36,11.28,1105.15,30.13,0.49,0.76,0.62,0.61
15074,5.74,11.62,1631.63,41.32,0.51,0.66,0.68,0.61
20437,5.27,12.51,1051.55,34.44,0.52,0.72,0.62,0.61
16057,4.52,11.97,1319.32,32.36,0.48,0.74,0.65,0.61
30165,5.03,10.79,1290.92,28.99,0.47,0.77,0.65,0.61
20501,4.58,10.96,1369.41,28.19,0.46,0.77,0.65,0.61
20144,5.25,12.61,750.83,27.28,0.53,0.78,0.56,0.61
31017,4.99,12.1,1008.63,30.21,0.5,0.76,0.61,0.61
20500,5.62,11.78,938.98,30.8,0.51,0.75,0.6,0.61
20506,5.09,11.86,933.65,27.98,0.5,0.78,0.6,0.61
12041,5.81,12.87,819.9,33.93,0.55,0.73,0.58,0.61
16029,4.88,11.82,1456.48,36,0.49,0.71,0.66,0.61
15123,5.07,11.87,1279.36,34.91,0.5,0.72,0.64,0.61
20258,5.78,11.91,721.86,26.48,0.52,0.79,0.56,0.61
16013,4.43,11.81,1270.78,30.77,0.48,0.75,0.64,0.61
07030,4.66,11.45,1212.35,29.34,0.47,0.77,0.64,0.61
12052,5.37,11.93,1174.28,35.46,0.51,0.71,0.63,0.61
21010,4.74,10.84,1646.31,33.05,0.46,0.73,0.68,0.61
28026,5.37,11.62,991.69,30.42,0.5,0.76,0.61,0.61
21056,4.43,11.53,1024.27,24.8,0.47,0.8,0.61,0.61
21093,4.93,11.42,1048.07,28.02,0.48,0.78,0.61,0.61
08047,5.44,10.8,1181.6,30.64,0.48,0.75,0.63,0.61
24002,5.07,11.19,1125.2,29.3,0.48,0.77,0.63,0.61
13049,5.07,10.7,1202.22,28.18,0.47,0.78,0.64,0.61
24004,4.63,10.42,1480.71,28.1,0.44,0.78,0.67,0.61
07006,4.94,11.37,1115.35,29.28,0.48,0.77,0.62,0.61
20398,4.67,11.06,1317.6,29.59,0.46,0.76,0.65,0.61
21188,5.42,10.36,1286.18,30.16,0.47,0.76,0.65,0.61
13027,4.32,12.04,1300.66,32.24,0.48,0.74,0.65,0.61
07008,4.93,11.06,1169.47,28.7,0.47,0.77,0.63,0.61
16021,5.42,10.55,1506.22,34.34,0.47,0.72,0.67,0.61
20265,4.43,12.92,971.41,31.11,0.51,0.75,0.6,0.61
16031,5.15,11.32,1455.5,35.92,0.49,0.71,0.66,0.61
20173,5.89,12.66,702.55,30.64,0.55,0.75,0.55,0.61
21022,5.19,10.58,1215.21,28.78,0.47,0.77,0.64,0.61
14056,4.45,11.3,1696.53,34.57,0.46,0.72,0.69,0.61
20507,4.61,11.83,1318.62,33.38,0.48,0.73,0.65,0.61
20444,5.43,13.02,691.81,29.58,0.54,0.76,0.55,0.61
20194,4.62,10.92,1114.06,25.17,0.46,0.8,0.62,0.61
12051,4.56,11.09,1239.52,28.07,0.46,0.78,0.64,0.61
20131,4.57,10.32,1699.54,30.42,0.44,0.76,0.69,0.61
07011,5.15,11.73,928.59,28.93,0.5,0.77,0.6,0.61
07020,5.05,10.84,1147.37,28.4,0.47,0.77,0.63,0.61
16049,4.8,10.96,1488.2,32.95,0.46,0.73,0.67,0.61
20394,5.74,12.49,686.29,29.01,0.54,0.77,0.55,0.61
13040,4.34,11.16,1189.39,26.49,0.45,0.79,0.63,0.61
12045,4.65,10.72,1338.24,28.66,0.45,0.77,0.65,0.61
21006,3.67,12.79,1395.63,34.25,0.48,0.72,0.66,0.61
21216,4.45,12.95,986.12,32.42,0.51,0.74,0.61,0.61
21203,5.04,11.3,1168.84,31.47,0.48,0.75,0.63,0.61
20484,4.7,11.31,1197.57,29.88,0.47,0.76,0.63,0.61
20161,5.6,12.15,833.31,31.53,0.52,0.75,0.58,0.61
16097,4.7,11.58,1584.64,36.98,0.48,0.7,0.68,0.61
13071,4.81,10.23,1292.81,26.54,0.44,0.79,0.65,0.61
24017,4.77,10.65,1392.78,30.28,0.45,0.76,0.66,0.61
20188,4.86,11.38,1292.58,33.2,0.48,0.73,0.65,0.61
21042,4.98,12.07,899.08,29.59,0.5,0.76,0.59,0.61
07059,4.95,11.43,1148.21,31.57,0.48,0.75,0.63,0.61
20320,5.49,12.47,821.28,32.36,0.53,0.74,0.58,0.61
20267,5.53,9.45,1073.79,23.03,0.45,0.82,0.62,0.61
07077,4.68,11.87,904.84,26.93,0.49,0.79,0.59,0.61
07014,4.83,10.68,1210.97,28.08,0.46,0.78,0.64,0.61
21206,4.71,11.8,1006.54,29.47,0.49,0.76,0.61,0.61
20123,4.91,11.74,985.72,29.93,0.49,0.76,0.61,0.61
20249,5.45,11.42,961.25,30.95,0.5,0.75,0.6,0.61
20266,4.47,11.45,1232.91,30.6,0.47,0.75,0.64,0.61
16002,4.69,10.48,1742.37,33.72,0.45,0.73,0.69,0.61
21039,5.09,11.15,1186.82,32.11,0.48,0.74,0.63,0.61
16027,4.64,11.37,1289.84,32.22,0.47,0.74,0.65,0.61
30140,4.75,11.79,1219.28,33.88,0.49,0.73,0.64,0.61
21213,4.77,11.4,1314.19,33.6,0.48,0.73,0.65,0.61
20136,5.24,11.66,872.83,29.06,0.5,0.77,0.59,0.61
31092,4.92,12.29,1033.77,34,0.51,0.73,0.61,0.61
16092,4.27,11.56,1439.29,33.4,0.46,0.73,0.66,0.61
21057,4.75,11.29,1033.79,28.05,0.47,0.78,0.61,0.61
31016,4.91,10.9,1261.92,31.36,0.47,0.75,0.64,0.61
20082,5.39,11.51,899.7,30.15,0.5,0.76,0.59,0.61
08020,5.87,11.26,956.33,33.15,0.51,0.73,0.6,0.61
19007,6.11,11.84,1868.89,48.96,0.53,0.6,0.7,0.61
20347,5.24,12.1,818.07,30.07,0.51,0.76,0.58,0.61
30180,4.43,11.84,1050.97,29.64,0.48,0.76,0.61,0.61
10034,5.26,10.32,1429.57,33.41,0.46,0.73,0.66,0.61
30079,4.35,10.98,1320.63,29.5,0.45,0.76,0.65,0.61
20376,4.55,11.2,1151.3,29.11,0.46,0.77,0.63,0.61
20009,5.36,11.12,820.82,26.2,0.49,0.79,0.58,0.61
12073,4,10.35,1351.83,23.93,0.42,0.81,0.65,0.61
16094,4.7,9.61,1613.71,28.46,0.42,0.77,0.68,0.61
30024,4.59,10.79,1567.64,33.8,0.45,0.73,0.68,0.61
20332,5.21,11.74,733.99,26.14,0.5,0.79,0.56,0.61
20256,5.21,10.87,880.27,25.99,0.48,0.79,0.59,0.61
20047,6.47,8.17,983.07,21.83,0.44,0.83,0.6,0.61
30203,4.44,12.01,1194.16,33.98,0.48,0.73,0.63,0.61
15114,5.13,10.11,1493.74,33.11,0.45,0.73,0.67,0.6
21193,5.31,11.63,1085.74,35.39,0.5,0.71,0.62,0.6
20569,5.39,11.81,782.11,29.67,0.51,0.76,0.57,0.6
20226,4.88,10.51,1066.74,26.75,0.45,0.79,0.62,0.6
31022,4.94,11.95,1071.21,34.75,0.5,0.72,0.62,0.6
13080,4.27,11.86,1034.81,29.61,0.47,0.76,0.61,0.6
21100,4.7,11.8,1039.25,32.11,0.48,0.74,0.61,0.6
20216,6.01,11.65,749.68,31.62,0.52,0.75,0.56,0.6
20478,4.84,11.99,839.4,29.15,0.49,0.77,0.58,0.6
07083,4.51,10.7,1312.8,30.22,0.45,0.76,0.65,0.6
20498,4.55,10.61,1409.61,31.41,0.45,0.75,0.66,0.6
24003,4.66,11.56,1341.25,36.09,0.48,0.71,0.65,0.6
20106,4.11,12.75,831.66,28.59,0.49,0.77,0.58,0.6
20538,4.61,11.2,1034.36,28.66,0.46,0.77,0.61,0.6
11045,4.61,11.29,1153.35,31.55,0.47,0.75,0.63,0.6
20181,5,11.16,951.67,29.11,0.48,0.77,0.6,0.6
20353,4.78,10.91,1047.35,28.55,0.46,0.77,0.61,0.6
20410,5.97,11.66,627.64,27.53,0.52,0.78,0.54,0.6
21135,4.64,16.35,423.12,30.77,0.61,0.75,0.48,0.6
30031,4.68,10.2,1468.5,31.23,0.44,0.75,0.67,0.6
20179,5.13,11.5,813.2,28.24,0.49,0.77,0.58,0.6
21066,4.27,11.68,934.41,26.99,0.47,0.79,0.6,0.6
30104,4.44,11.58,1017.87,29.62,0.47,0.76,0.61,0.6
13053,4.46,11.51,1431.37,36.51,0.47,0.7,0.66,0.6
20489,4.88,11.94,888.8,31.28,0.49,0.75,0.59,0.6
20072,5.19,10.19,1123.87,29.37,0.46,0.76,0.63,0.6
30122,3.97,11.18,1349.53,30.65,0.44,0.75,0.65,0.6
20470,4.97,10.89,1093.56,31.2,0.47,0.75,0.62,0.6
20561,5.47,11.45,957.46,34.1,0.5,0.72,0.6,0.6
20104,5.18,11.66,965.99,33.68,0.5,0.73,0.6,0.6
30162,4.63,10.22,1303.78,29.18,0.44,0.77,0.65,0.6
21014,4.07,12.31,1130.58,33.89,0.48,0.73,0.63,0.6
30212,4.11,10.94,1135.26,27.05,0.44,0.78,0.63,0.6
21052,4.57,12.64,822.26,31.79,0.5,0.74,0.58,0.6
08030,5.42,10.47,1439.31,37.85,0.47,0.69,0.66,0.6
07080,4.69,11.64,780.01,26.23,0.48,0.79,0.57,0.6
20245,4.68,10.44,1176.85,29.08,0.45,0.77,0.63,0.6
20138,5.53,11.65,740.8,30.4,0.51,0.76,0.56,0.6
20560,4.97,10.42,1111.48,29.91,0.46,0.76,0.62,0.6
12028,4.69,11.14,1304.74,35.24,0.47,0.72,0.65,0.6
07047,5.35,11.18,714.27,26.05,0.49,0.79,0.56,0.6
21202,4.73,10.7,1287.07,32.91,0.45,0.73,0.65,0.6
07018,4.86,11.31,761.15,25.24,0.48,0.8,0.57,0.6
20202,4.83,10.95,1064.96,31.04,0.47,0.75,0.62,0.6
30043,4.38,10.18,1355.95,28.92,0.43,0.77,0.65,0.6
20223,5.25,10.59,754.95,23.8,0.47,0.81,0.56,0.6
21146,3.96,12.72,811.82,28.73,0.49,0.77,0.58,0.6
20379,5.19,13.06,774.67,36.42,0.54,0.71,0.57,0.6
31010,4.32,11.35,1518.14,37.39,0.46,0.7,0.67,0.6
30008,4.22,11.92,1027.28,31.87,0.47,0.74,0.61,0.6
21168,4.66,10.91,1219.33,32.97,0.46,0.73,0.64,0.6
20449,4.53,11.5,917.63,29.23,0.47,0.77,0.59,0.6
16099,4.51,11.07,1304.71,34.44,0.46,0.72,0.65,0.6
08027,5.33,10.99,1942.94,45.74,0.48,0.63,0.71,0.6
20359,4.61,12.15,941.57,33.76,0.49,0.73,0.6,0.6
20232,5.36,11.03,858.16,30.64,0.49,0.75,0.58,0.6
20286,4.39,11.12,1165.28,31.76,0.46,0.74,0.63,0.6
20081,3.89,11.62,1160.14,31.18,0.45,0.75,0.63,0.6
14019,5.56,11.16,1689.08,45.57,0.5,0.63,0.69,0.6
30171,4.97,11.51,1013.39,34.61,0.49,0.72,0.61,0.6
20287,5.4,11.08,675.98,25.62,0.49,0.8,0.55,0.6
21198,4.75,12.21,646.05,26.5,0.5,0.79,0.54,0.6
21092,4.62,11.51,986.35,32.21,0.47,0.74,0.61,0.6
20348,4.77,10.69,1134.08,31.91,0.46,0.74,0.63,0.6
20331,4.37,12.62,781.06,31.17,0.5,0.75,0.57,0.6
15086,6.15,11.53,1279.14,45.74,0.53,0.63,0.64,0.6
20163,4.96,11.85,888.58,33.84,0.49,0.73,0.59,0.6
20464,4.67,11.65,889.32,31.28,0.48,0.75,0.59,0.6
21150,4.81,11.25,1006.13,32.9,0.47,0.73,0.61,0.6
20219,4.35,11.02,1284.91,34,0.45,0.73,0.65,0.6
21087,4.46,10.95,1186.97,32.92,0.45,0.73,0.63,0.6
30149,3.54,11.45,1134.54,28.7,0.44,0.77,0.63,0.59
20125,4.93,11.46,779.51,29.3,0.48,0.77,0.57,0.59
20020,4.65,12.01,1058.34,37.2,0.49,0.7,0.62,0.59
20038,4.73,10.47,1067.48,30.14,0.45,0.76,0.62,0.59
20113,4.86,10.89,983.62,31.48,0.46,0.75,0.6,0.59
30168,4.29,11.22,1220.35,34.18,0.45,0.72,0.64,0.59
20423,5.08,12.28,657.58,30.53,0.51,0.76,0.54,0.59
20415,4.78,10.72,963.96,29.74,0.46,0.76,0.6,0.59
07070,5.75,11.67,572.9,27.94,0.52,0.78,0.52,0.59
20264,4.93,13.63,678.28,36.69,0.54,0.7,0.55,0.59
13062,4.68,11.06,1083.86,33.52,0.46,0.73,0.62,0.59
20468,4.24,10.71,1015.15,27.48,0.44,0.78,0.61,0.59
20031,4.46,11.14,1261.19,35.85,0.46,0.71,0.64,0.59
20222,5.46,10.62,771.18,28.73,0.48,0.77,0.57,0.59
08054,4.62,6.75,2324.64,21.46,0.34,0.83,0.73,0.59
20001,4.14,13.69,692.83,33.65,0.52,0.73,0.55,0.59
07016,4.18,10.5,1146.43,28.89,0.43,0.77,0.63,0.59
21068,3.85,12.36,995.78,33.77,0.47,0.73,0.61,0.59
