HOGARES,POBLACION,PO2SM,IM,SUPERFICIE,INFRA_INDEX,ALL_ACCESS,NUM_OPS,DENS_HOGS,PEN_CLASS
2272,8819,61.24,0.138,97.5,-0.28,91,1,2330.25641025641,0
757,3147,76.03,-0.032,18.2,-0.54,168,1,4159.34065934066,0
23842,87267,59.19,-0.263,655.69,0.46,8008,1,3636.169531333404,1
12983,43388,62.62,-0.181,859.42,0,1711,1,1510.66998673524,0
1614,5350,66.35,0.358,194.95,0.12,84,1,827.904590920749,0
5482,22969,59.57,0.67,168.31,-0.54,11,1,3257.0851405145268,0
13921,48091,33.81,-0.845,372.29,1.21,5329,1,3739.2892637460045,1
27850,104694,66.65,0.122,1277.09,0.02,4508,1,2180.7390238745897,1
2302,10189,77.82,0.971,70.88,-0.79,0,0,3247.7426636568853,0
8690,28922,64.43,-0.022,648.24,-0.14,814,1,1340.552881648772,0
16084,65548,66.57,0.393,328.46,-0.2,2962,2,4896.791085672532,1
17053,52927,45.21,-0.646,827,0.83,6214,1,2062.0314389359132,1
2633,7987,56,0.177,135.08,-0.28,144,1,1949.2152798341722,0
12224,45430,57.96,-0.434,151.37,0.35,2587,1,8075.5764021933,1
10211,33730,64.98,0.073,430.55,-0.25,1004,1,2371.617698292881,0
1191,4009,55.4,-0.46,67.66,0.07,0,0,1760.2719479751702,0
487,1924,83.94,1.566,20.69,-1.13,2,1,2353.7941034316095,0
1587,6534,68.34,1.399,29.84,-0.75,0,0,5318.364611260054,0
2502,10933,76.45,1.891,62.08,-1.24,0,0,4030.2835051546394,0
6617,23896,66.68,-0.286,122.69,0.46,1970,1,5393.267584970251,0
5054,21360,73.25,0.48,65.37,-0.4,658,1,7731.375248584977,0
13769,50873,75.98,0.81,518.07,-0.6,0,0,2657.74895284421,0
6106,26694,75.49,1.464,173.02,-0.86,10,1,3529.071783608831,0
6780,24822,38.15,-1.225,19.83,1.21,7880,3,34190.62027231468,5
4290,17618,68.18,0.917,232.92,-0.98,0,0,1841.8341061308606,0
42875,142207,24.02,-1.722,38,2.06,19295,2,112828.94736842107,2
2803,12929,77.49,1.22,134.08,-0.98,0,0,2090.5429594272073,0
1811,6426,72.73,0.261,124.07,-0.48,186,1,1459.6598694285485,0
11193,42347,52.48,-0.426,20.9,0.88,6219,3,53555.023923444984,1
7629,24565,40.5,-0.69,245.34,0.95,3279,2,3109.5622401565174,1
4345,16996,81.04,0.748,249.66,-0.62,0,0,1740.3668989826162,0
5202,20037,67.75,0.417,272.44,-0.15,209,1,1909.4112465129936,0
12699,49651,67.6,0.107,659.12,0.14,2715,1,1926.6597888093215,1
6624,23675,67.07,0.504,272.32,-0.43,410,1,2432.4324324324325,0
7700,26807,41.77,-1.196,91,1.4,3955,1,8461.538461538461,1
4098,12494,65.53,0.103,290.42,-0.16,428,1,1411.0598443633357,0
3563,13479,61.97,0.674,151.97,-0.14,262,1,2344.541685859051,0
1566,6684,68.67,1.054,92.65,-0.28,0,0,1690.2320561252022,0
3093,14394,83.59,0.995,133.79,-0.82,251,1,2311.8319754839677,0
14730,55844,66.97,0.32,936.42,-0.6,757,2,1573.0121099506632,1
4742,16241,48.58,-0.175,174.43,0.16,1000,1,2718.5690534885052,0
4328,16741,68.83,0.374,140.21,-0.05,43,1,3086.79837386777,0
